avg_no_of_new_genes	no_of_genomes
4524.5	1
1321.3	2
661.6	3
612.3	4
670.5	5
523.6	6
444.1	7
455.2	8
408.7	9
314.5	10
253	11
277.5	12
277	13
273.9	14
391	15
225.8	16
283.1	17
202.1	18
177.3	19
153.9	20
207	21
259.5	22
202.6	23
174.2	24
170.1	25
216.1	26
157.8	27
112.7	28
139.9	29
202.7	30
171.2	31
126.4	32
161.5	33
131.9	34
61.8	35
130.1	36
117.7	37
148.1	38
100.8	39
77.3	40
73.5	41
79.3	42
127.9	43
72.9	44
114.3	45
73.7	46
151.1	47
65.5	48
140	49
54.2	50
87.7	51
75.9	52
97.3	53
114	54
58.5	55
121.9	56
103.4	57
76.4	58
66.6	59
85.1	60
67.9	61
86.9	62
106.6	63
136.4	64
74.6	65
83.4	66
113.6	67
45	68
69.4	69
111.2	70
80.8	71
77.4	72
41.6	73
70.2	74
36.8	75
67.5	76
74.1	77
76.6	78
53.3	79
63.2	80
85.3	81
60.2	82
29.4	83
77.4	84
45.1	85
88.8	86
36.3	87
112.8	88
14.7	89
38.3	90
69.1	91
51.9	92
29.6	93
81.1	94
59.9	95
69.9	96
50.5	97
72.4	98
74.6	99
54.6	100
48.2	101
74	102
42.1	103
39.7	104
52.4	105
30.8	106
62.9	107
49	108
51.4	109
39.1	110
34.7	111
29	112
42.4	113
42.5	114
40.3	115
21.7	116
71.6	117
40.5	118
50.3	119
35.6	120
98.9	121
48.6	122
36.2	123
54.5	124
70.9	125
34.6	126
60.1	127
62.3	128
66	129
21.6	130
54.8	131
76.4	132
28	133
44.3	134
30	135
22.4	136
53.3	137
59.3	138
82.5	139
45.3	140
41.7	141
31.8	142
26.8	143
26.6	144
78.3	145
31.7	146
20.4	147
27.1	148
84.3	149
43.5	150
38.6	151
26.1	152
57.5	153
37.4	154
31.6	155
41.4	156
36.3	157
21.8	158
31.9	159
27	160
13.7	161
47.1	162
34.6	163
37	164
75.7	165
26.4	166
43.2	167
32.2	168
67.9	169
37.3	170
24.9	171
41.1	172
30.4	173
43.6	174
26	175
42.7	176
70.8	177
24.7	178
45.2	179
58.1	180
116.8	181
22.8	182
42.3	183
42.6	184
36.9	185
12.7	186
13.9	187
17.8	188
46.5	189
19.5	190
22	191
22.9	192
24.8	193
