isolate	clade	disease
GCA_024590115.1_ASM2459011v1_genomic	clade_1	dia_w_cdiff
GCA_024592415.1_ASM2459241v1_genomic	clade_1	dia_w_cdiff
GCA_024590065.1_ASM2459006v1_genomic	clade_1	dia_w_cdiff
GCA_024590055.1_ASM2459005v1_genomic	clade_1	dia_w_cdiff
GCA_024590035.1_ASM2459003v1_genomic	clade_1	dia_w_cdiff
GCA_024590015.1_ASM2459001v1_genomic	clade_1	dia_w_cdiff
GCA_024589995.1_ASM2458999v1_genomic	clade_1	dia_w_cdiff
GCA_024589975.1_ASM2458997v1_genomic	clade_1	dia_w_cdiff
GCA_024589955.1_ASM2458995v1_genomic	clade_1	dia_w_cdiff
GCA_024589935.1_ASM2458993v1_genomic	clade_1	dia_w_cdiff
GCA_024589895.1_ASM2458989v1_genomic	clade_1	dia_w_cdiff
GCA_024589875.1_ASM2458987v1_genomic	clade_1	dia_w_cdiff
GCA_024592555.1_ASM2459255v1_genomic	clade_1	dia_wo_cdiff
GCA_024592535.1_ASM2459253v1_genomic	clade_1	dia_wo_cdiff
GCA_024592505.1_ASM2459250v1_genomic	clade_1	dia_wo_cdiff
GCA_024591935.1_ASM2459193v1_genomic	clade_1	asymptomatic
GCA_024591855.1_ASM2459185v1_genomic	clade_1	asymptomatic
GCA_024591885.1_ASM2459188v1_genomic	clade_1	asymptomatic
GCA_024591835.1_ASM2459183v1_genomic	clade_1	asymptomatic
GCA_024592475.1_ASM2459247v1_genomic	clade_1	dia_wo_cdiff
GCA_024592455.1_ASM2459245v1_genomic	clade_1	dia_wo_cdiff
GCA_024592355.1_ASM2459235v1_genomic	clade_1	dia_w_cdiff
GCA_024592375.1_ASM2459237v1_genomic	clade_1	dia_w_cdiff
GCA_024592365.1_ASM2459236v1_genomic	clade_1	dia_w_cdiff
GCA_024592335.1_ASM2459233v1_genomic	clade_1	dia_w_cdiff
GCA_024592305.1_ASM2459230v1_genomic	clade_1	dia_w_cdiff
GCA_024592275.1_ASM2459227v1_genomic	clade_1	dia_w_cdiff
GCA_024592255.1_ASM2459225v1_genomic	clade_1	dia_w_cdiff
GCA_024592065.1_ASM2459206v1_genomic	clade_1	asymptomatic
GCA_024591985.1_ASM2459198v1_genomic	clade_1	asymptomatic
GCA_024592215.1_ASM2459221v1_genomic	clade_1	asymptomatic
GCA_024592175.1_ASM2459217v1_genomic	clade_1	dia_w_cdiff
GCA_024592165.1_ASM2459216v1_genomic	clade_1	asymptomatic
GCA_024592155.1_ASM2459215v1_genomic	clade_1	dia_w_cdiff
GCA_024592135.1_ASM2459213v1_genomic	clade_1	asymptomatic
GCA_024592085.1_ASM2459208v1_genomic	clade_1	asymptomatic
GCA_024591755.1_ASM2459175v1_genomic	clade_1	asymptomatic
GCA_024591735.1_ASM2459173v1_genomic	clade_1	asymptomatic
GCA_024591715.1_ASM2459171v1_genomic	clade_1	asymptomatic
GCA_024591695.1_ASM2459169v1_genomic	clade_1	asymptomatic
GCA_024591795.1_ASM2459179v1_genomic	clade_1	asymptomatic
GCA_024591615.1_ASM2459161v1_genomic	clade_1	asymptomatic
GCA_024591595.1_ASM2459159v1_genomic	clade_1	asymptomatic
GCA_024591565.1_ASM2459156v1_genomic	clade_1	asymptomatic
GCA_024591535.1_ASM2459153v1_genomic	clade_1	asymptomatic
GCA_024591505.1_ASM2459150v1_genomic	clade_1	dia_wo_cdiff
GCA_024591445.1_ASM2459144v1_genomic	clade_1	dia_w_cdiff
GCA_024591435.1_ASM2459143v1_genomic	clade_1	dia_w_cdiff
GCA_024591405.1_ASM2459140v1_genomic	clade_1	dia_w_cdiff
GCA_024591395.1_ASM2459139v1_genomic	clade_1	dia_w_cdiff
GCA_024591175.1_ASM2459117v1_genomic	clade_1	dia_wo_cdiff
GCA_024591345.1_ASM2459134v1_genomic	clade_1	dia_w_cdiff
GCA_024591335.1_ASM2459133v1_genomic	clade_1	dia_w_cdiff
GCA_024591315.1_ASM2459131v1_genomic	clade_1	dia_w_cdiff
GCA_024591295.1_ASM2459129v1_genomic	clade_1	dia_w_cdiff
GCA_024591265.1_ASM2459126v1_genomic	clade_1	dia_wo_cdiff
GCA_024591235.1_ASM2459123v1_genomic	clade_1	dia_wo_cdiff
GCA_024591215.1_ASM2459121v1_genomic	clade_1	dia_wo_cdiff
GCA_024591225.1_ASM2459122v1_genomic	clade_1	dia_wo_cdiff
GCA_024591115.1_ASM2459111v1_genomic	clade_1	dia_w_cdiff
GCA_024591065.1_ASM2459106v1_genomic	clade_1	dia_w_cdiff
GCA_024591035.1_ASM2459103v1_genomic	clade_1	dia_w_cdiff
GCA_024591025.1_ASM2459102v1_genomic	clade_1	dia_w_cdiff
GCA_024591015.1_ASM2459101v1_genomic	clade_1	dia_w_cdiff
GCA_024590995.1_ASM2459099v1_genomic	clade_1	dia_w_cdiff
GCA_024590755.1_ASM2459075v1_genomic	clade_1	asymptomatic
GCA_024590955.1_ASM2459095v1_genomic	clade_1	dia_w_cdiff
GCA_024590925.1_ASM2459092v1_genomic	clade_1	asymptomatic
GCA_024590915.1_ASM2459091v1_genomic	clade_1	asymptomatic
GCA_024590895.1_ASM2459089v1_genomic	clade_1	asymptomatic
GCA_024590875.1_ASM2459087v1_genomic	clade_1	asymptomatic
GCA_024590855.1_ASM2459085v1_genomic	clade_1	asymptomatic
GCA_024590825.1_ASM2459082v1_genomic	clade_1	asymptomatic
GCA_024590475.1_ASM2459047v1_genomic	clade_1	dia_w_cdiff
GCA_024590435.1_ASM2459043v1_genomic	clade_1	dia_w_cdiff
GCA_024590695.1_ASM2459069v1_genomic	clade_1	asymptomatic
GCA_024590655.1_ASM2459065v1_genomic	clade_1	dia_wo_cdiff
GCA_024590665.1_ASM2459066v1_genomic	clade_1	asymptomatic
GCA_024590625.1_ASM2459062v1_genomic	clade_1	dia_wo_cdiff
GCA_024590615.1_ASM2459061v1_genomic	clade_1	dia_wo_cdiff
GCA_024590595.1_ASM2459059v1_genomic	clade_1	dia_w_cdiff
GCA_024590565.1_ASM2459056v1_genomic	clade_1	dia_wo_cdiff
GCA_024591545.1_ASM2459154v1_genomic	clade_2	asymptomatic
