KEGG_Class	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_clade_2	p_clade_1	p_clade_3	p_clade_4	N_clade_2	N_clade_1	N_clade_3	N_clade_4
Pathway modules; Amino acid metabolism; Polyamine biosynthesis	113.00794754367192	2.471290661673124e-24	1.754616369787918e-22	clade_2, clade_1, clade_4	M00135	GC_00000261	1	1	0	1	36	57	17	3
Signature modules; Gene set; Pathogenicity	42.143771733751414	3.7399351095266e-9	1.327676963881943e-7	clade_3	M00564	GC_00007378	0	0	0.4118	0	36	57	17	3
Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis!!!Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis	17.60763956080922	5.298858933055154e-4	0.009405474606172899	clade_2	M00801!!!M00802	GC_00003419, GC_00005000	1	0.9123	0.8824	0.3333	36	57	17	3
Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis!!!Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis!!!Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis!!!Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis!!!Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis!!!Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis	17.60763956080922	5.298858933055154e-4	0.009405474606172899	clade_2	M00798!!!M00799!!!M00800!!!M00801!!!M00802!!!M00803	GC_00002913, GC_00007720	1	0.9123	0.8824	0.3333	36	57	17	3
Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis!!!Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis!!!Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis!!!Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis!!!Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis!!!Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis!!!Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	13.823555760670187	0.003155431849511746	0.04480713226306679	clade_1, clade_4	M00095!!!M00849!!!M00096!!!M00364!!!M00365!!!M00366!!!M00367	GC_00004994	0.0556	0.2807	0.0588	0.6667	36	57	17	3
Pathway modules; Energy metabolism; Carbon fixation!!!Signature modules; Module set; Metabolic capacity	12.527192022039893	0.005779083814560232	0.06703608617149323	clade_1, clade_4	M00377!!!M00618	GC_00009108	0	0.0351	0	0.3333	36	57	17	3
Pathway modules; Energy metabolism; Sulfur metabolism!!!Signature modules; Module set; Metabolic capacity	12.238520781445262	0.006609191594372572	0.06703608617149323	clade_2, clade_4	M00176!!!M00616	GC_00006286, GC_00011489	0.25	0.0526	0	0.3333	36	57	17	3
Pathway modules; Amino acid metabolism; Arginine and proline metabolism	0	1	1	NA	M00015	GC_00000414, GC_00000851, GC_00001895, GC_00002047, GC_00002233, GC_00002361, GC_00008905	1	1	1	1	36	57	17	3
Pathway modules; Amino acid metabolism; Arginine and proline metabolism!!!Pathway modules; Amino acid metabolism; Arginine and proline metabolism	0	1	1	NA	M00844!!!M00029	GC_00001307, GC_00001882	1	1	1	1	36	57	17	3
Pathway modules; Amino acid metabolism; Arginine and proline metabolism!!!Pathway modules; Amino acid metabolism; Arginine and proline metabolism!!!Pathway modules; Amino acid metabolism; Arginine and proline metabolism	0	1	1	NA	M00844!!!M00845!!!M00029	GC_00001374, GC_00002681	1	1	1	1	36	57	17	3
