time	A1	B1	C1	D1	E1	F1	G1	H1	A2	B2	C2	D2	E2	F2	G2	H2	A3	B3	C3	D3	E3	F3	G3	H3
0	0.123	0.088	0.144	0.151	0.163	0.111	0.122	0.088	0.129	0.121	0.148	0.138	0.144	0.12	0.142	0.085	0.129	0.122	0.159	0.12	0.136	0.118	0.134	0.088
15	0.125	0.088	0.156	0.149	0.16	0.117	0.122	0.087	0.131	0.127	0.158	0.139	0.143	0.124	0.142	0.084	0.131	0.125	0.167	0.121	0.134	0.12	0.134	0.087
30	0.129	0.088	0.163	0.155	0.161	0.117	0.127	0.087	0.134	0.13	0.164	0.142	0.141	0.127	0.145	0.084	0.135	0.128	0.173	0.124	0.133	0.123	0.139	0.087
45	0.132	0.088	0.16	0.158	0.16	0.12	0.13	0.087	0.137	0.132	0.16	0.145	0.14	0.131	0.148	0.084	0.138	0.133	0.171	0.127	0.132	0.126	0.142	0.086
60	0.134	0.088	0.158	0.161	0.159	0.12	0.132	0.087	0.14	0.131	0.157	0.147	0.139	0.131	0.148	0.084	0.141	0.132	0.169	0.129	0.132	0.128	0.142	0.086
75	0.134	0.088	0.158	0.158	0.158	0.12	0.131	0.087	0.139	0.13	0.156	0.147	0.139	0.133	0.152	0.084	0.141	0.13	0.169	0.13	0.131	0.128	0.143	0.086
90	0.132	0.088	0.157	0.156	0.157	0.121	0.129	0.087	0.137	0.129	0.157	0.146	0.139	0.133	0.151	0.084	0.14	0.129	0.169	0.129	0.131	0.128	0.142	0.086
105	0.131	0.088	0.157	0.154	0.158	0.119	0.128	0.087	0.136	0.13	0.158	0.147	0.139	0.132	0.151	0.084	0.139	0.13	0.17	0.129	0.131	0.127	0.141	0.086
120	0.13	0.088	0.159	0.154	0.158	0.119	0.127	0.087	0.137	0.13	0.159	0.146	0.138	0.131	0.15	0.084	0.139	0.13	0.167	0.129	0.131	0.127	0.142	0.086
135	0.13	0.088	0.163	0.157	0.157	0.118	0.126	0.087	0.137	0.13	0.163	0.147	0.139	0.13	0.15	0.084	0.14	0.131	0.169	0.129	0.132	0.126	0.142	0.086
150	0.129	0.088	0.167	0.16	0.156	0.118	0.126	0.087	0.138	0.131	0.167	0.148	0.14	0.13	0.15	0.084	0.141	0.131	0.173	0.133	0.132	0.125	0.142	0.086
165	0.129	0.087	0.172	0.162	0.155	0.118	0.126	0.087	0.138	0.131	0.171	0.149	0.141	0.13	0.152	0.084	0.142	0.133	0.177	0.13	0.133	0.125	0.144	0.086
180	0.128	0.087	0.178	0.164	0.155	0.118	0.126	0.087	0.139	0.131	0.177	0.15	0.14	0.13	0.152	0.084	0.143	0.135	0.187	0.128	0.133	0.125	0.144	0.086
195	0.128	0.087	0.184	0.164	0.155	0.119	0.126	0.087	0.139	0.131	0.183	0.15	0.141	0.129	0.153	0.084	0.144	0.135	0.192	0.127	0.133	0.125	0.146	0.086
210	0.127	0.088	0.192	0.167	0.156	0.119	0.126	0.087	0.139	0.131	0.19	0.151	0.141	0.13	0.155	0.084	0.145	0.139	0.201	0.128	0.133	0.125	0.148	0.086
225	0.127	0.087	0.197	0.171	0.156	0.118	0.126	0.087	0.138	0.131	0.196	0.153	0.142	0.13	0.156	0.084	0.148	0.14	0.205	0.129	0.134	0.125	0.15	0.086
240	0.126	0.087	0.205	0.171	0.155	0.119	0.125	0.087	0.138	0.132	0.202	0.153	0.143	0.13	0.158	0.084	0.15	0.141	0.211	0.131	0.135	0.126	0.15	0.086
255	0.126	0.087	0.216	0.175	0.155	0.12	0.125	0.087	0.137	0.131	0.212	0.154	0.145	0.13	0.158	0.084	0.152	0.144	0.22	0.132	0.136	0.126	0.151	0.086
270	0.126	0.087	0.222	0.181	0.155	0.119	0.125	0.087	0.137	0.133	0.219	0.155	0.146	0.131	0.159	0.084	0.154	0.146	0.228	0.132	0.138	0.125	0.151	0.086
285	0.126	0.087	0.231	0.182	0.155	0.119	0.125	0.087	0.137	0.132	0.227	0.157	0.146	0.13	0.161	0.084	0.158	0.149	0.234	0.133	0.139	0.126	0.152	0.086
300	0.126	0.087	0.239	0.186	0.156	0.12	0.124	0.087	0.136	0.132	0.232	0.158	0.148	0.131	0.164	0.084	0.16	0.151	0.242	0.135	0.139	0.127	0.155	0.086
315	0.126	0.087	0.248	0.185	0.155	0.121	0.124	0.087	0.135	0.132	0.243	0.159	0.149	0.131	0.163	0.084	0.162	0.153	0.256	0.137	0.139	0.127	0.154	0.086
330	0.126	0.087	0.255	0.186	0.156	0.121	0.124	0.087	0.135	0.132	0.25	0.162	0.151	0.131	0.165	0.084	0.165	0.154	0.256	0.141	0.14	0.127	0.157	0.086
345	0.126	0.087	0.265	0.187	0.157	0.121	0.123	0.087	0.135	0.132	0.258	0.163	0.15	0.131	0.167	0.084	0.168	0.155	0.261	0.143	0.141	0.127	0.158	0.086
360	0.126	0.087	0.272	0.186	0.156	0.121	0.123	0.087	0.138	0.134	0.263	0.166	0.154	0.132	0.167	0.084	0.17	0.156	0.267	0.145	0.142	0.128	0.159	0.086
375	0.126	0.087	0.281	0.185	0.155	0.122	0.123	0.087	0.139	0.135	0.269	0.168	0.155	0.132	0.17	0.084	0.172	0.157	0.28	0.148	0.142	0.128	0.159	0.086
390	0.126	0.087	0.287	0.186	0.155	0.122	0.123	0.087	0.14	0.138	0.273	0.171	0.156	0.132	0.169	0.084	0.172	0.158	0.289	0.151	0.143	0.128	0.161	0.086
405	0.126	0.087	0.287	0.185	0.156	0.123	0.123	0.087	0.143	0.141	0.274	0.174	0.158	0.132	0.173	0.084	0.174	0.159	0.29	0.157	0.144	0.128	0.162	0.086
420	0.126	0.087	0.292	0.182	0.156	0.124	0.123	0.087	0.146	0.144	0.281	0.178	0.158	0.133	0.173	0.084	0.182	0.159	0.3	0.159	0.144	0.128	0.164	0.086
435	0.127	0.087	0.291	0.181	0.154	0.125	0.122	0.087	0.146	0.148	0.29	0.182	0.158	0.133	0.172	0.084	0.184	0.161	0.309	0.16	0.144	0.128	0.164	0.086
450	0.128	0.087	0.294	0.181	0.154	0.124	0.122	0.087	0.148	0.154	0.297	0.185	0.157	0.132	0.173	0.084	0.192	0.158	0.313	0.164	0.145	0.129	0.163	0.086
465	0.128	0.087	0.298	0.18	0.154	0.125	0.122	0.087	0.151	0.157	0.295	0.191	0.158	0.132	0.177	0.084	0.198	0.161	0.319	0.168	0.145	0.129	0.165	0.086
480	0.129	0.087	0.303	0.182	0.153	0.125	0.122	0.087	0.152	0.162	0.308	0.192	0.159	0.133	0.178	0.084	0.201	0.162	0.325	0.17	0.144	0.13	0.165	0.086
495	0.13	0.087	0.309	0.182	0.153	0.125	0.122	0.087	0.155	0.163	0.314	0.195	0.16	0.133	0.179	0.084	0.205	0.162	0.327	0.173	0.145	0.13	0.165	0.087
510	0.131	0.087	0.311	0.182	0.153	0.126	0.122	0.087	0.154	0.168	0.321	0.198	0.157	0.133	0.179	0.084	0.209	0.162	0.327	0.175	0.147	0.131	0.165	0.087
525	0.132	0.087	0.311	0.183	0.153	0.126	0.122	0.087	0.157	0.166	0.327	0.198	0.159	0.133	0.179	0.084	0.215	0.165	0.334	0.178	0.147	0.131	0.166	0.087
540	0.133	0.087	0.311	0.182	0.153	0.127	0.122	0.087	0.162	0.167	0.33	0.205	0.159	0.134	0.181	0.084	0.22	0.163	0.338	0.183	0.149	0.132	0.168	0.087
555	0.134	0.087	0.312	0.182	0.153	0.127	0.122	0.087	0.163	0.173	0.34	0.208	0.161	0.135	0.182	0.084	0.223	0.166	0.339	0.183	0.149	0.132	0.168	0.087
570	0.135	0.087	0.318	0.182	0.152	0.127	0.122	0.087	0.165	0.174	0.351	0.212	0.16	0.135	0.18	0.084	0.225	0.164	0.341	0.186	0.148	0.133	0.167	0.087
585	0.136	0.087	0.318	0.188	0.153	0.127	0.123	0.087	0.17	0.178	0.351	0.213	0.162	0.136	0.182	0.084	0.232	0.167	0.348	0.192	0.147	0.134	0.169	0.088
600	0.138	0.087	0.321	0.19	0.153	0.127	0.123	0.087	0.171	0.179	0.369	0.22	0.161	0.137	0.185	0.084	0.238	0.167	0.359	0.193	0.148	0.136	0.171	0.088
615	0.139	0.087	0.321	0.187	0.153	0.128	0.123	0.087	0.174	0.183	0.374	0.218	0.16	0.138	0.184	0.084	0.239	0.168	0.362	0.195	0.148	0.137	0.171	0.088
630	0.14	0.087	0.318	0.189	0.153	0.128	0.123	0.087	0.178	0.186	0.382	0.222	0.161	0.14	0.187	0.084	0.239	0.169	0.364	0.197	0.148	0.139	0.171	0.088
645	0.141	0.087	0.319	0.188	0.154	0.129	0.124	0.087	0.18	0.187	0.386	0.224	0.163	0.142	0.191	0.084	0.242	0.17	0.375	0.199	0.149	0.14	0.174	0.089
660	0.143	0.087	0.323	0.19	0.154	0.13	0.124	0.088	0.186	0.186	0.395	0.226	0.162	0.144	0.189	0.085	0.243	0.171	0.38	0.203	0.149	0.142	0.175	0.089
675	0.143	0.087	0.322	0.189	0.156	0.13	0.125	0.088	0.189	0.187	0.39	0.231	0.163	0.145	0.192	0.085	0.244	0.17	0.387	0.205	0.151	0.143	0.176	0.089
690	0.145	0.087	0.327	0.189	0.156	0.131	0.126	0.088	0.188	0.189	0.393	0.229	0.164	0.148	0.194	0.086	0.245	0.17	0.389	0.206	0.151	0.144	0.178	0.089
705	0.146	0.087	0.331	0.188	0.155	0.132	0.126	0.089	0.197	0.188	0.39	0.232	0.165	0.151	0.194	0.086	0.254	0.172	0.391	0.207	0.154	0.147	0.178	0.089
720	0.147	0.087	0.334	0.187	0.155	0.132	0.128	0.088	0.207	0.19	0.391	0.231	0.166	0.154	0.198	0.086	0.265	0.167	0.394	0.207	0.154	0.149	0.182	0.089
735	0.147	0.087	0.34	0.186	0.154	0.132	0.128	0.089	0.217	0.19	0.397	0.236	0.168	0.157	0.204	0.086	0.278	0.172	0.398	0.207	0.156	0.151	0.184	0.089
750	0.148	0.087	0.345	0.185	0.156	0.132	0.129	0.089	0.233	0.191	0.394	0.234	0.166	0.158	0.205	0.086	0.285	0.17	0.395	0.209	0.156	0.153	0.187	0.089
765	0.149	0.087	0.347	0.184	0.157	0.132	0.13	0.089	0.247	0.192	0.391	0.236	0.168	0.16	0.206	0.086	0.288	0.172	0.395	0.209	0.156	0.154	0.188	0.089
780	0.15	0.087	0.356	0.184	0.158	0.133	0.131	0.089	0.256	0.192	0.396	0.235	0.17	0.165	0.208	0.087	0.287	0.172	0.397	0.211	0.157	0.159	0.192	0.089
795	0.151	0.088	0.361	0.183	0.16	0.135	0.133	0.089	0.266	0.19	0.397	0.233	0.167	0.169	0.213	0.087	0.288	0.173	0.397	0.212	0.156	0.162	0.196	0.089
810	0.151	0.088	0.375	0.183	0.16	0.136	0.134	0.09	0.272	0.189	0.399	0.237	0.167	0.172	0.217	0.087	0.29	0.172	0.397	0.214	0.157	0.165	0.199	0.088
825	0.153	0.088	0.378	0.182	0.162	0.137	0.136	0.089	0.283	0.19	0.392	0.232	0.167	0.177	0.219	0.087	0.292	0.173	0.397	0.214	0.158	0.169	0.203	0.088
840	0.154	0.088	0.384	0.182	0.162	0.137	0.137	0.09	0.286	0.191	0.393	0.234	0.166	0.177	0.219	0.087	0.292	0.17	0.398	0.212	0.157	0.171	0.201	0.088
855	0.155	0.088	0.392	0.181	0.163	0.139	0.138	0.09	0.296	0.19	0.392	0.235	0.167	0.178	0.225	0.087	0.297	0.174	0.395	0.212	0.157	0.172	0.206	0.088
870	0.157	0.088	0.396	0.179	0.166	0.141	0.139	0.09	0.308	0.19	0.395	0.234	0.168	0.182	0.227	0.087	0.304	0.175	0.398	0.213	0.159	0.175	0.207	0.088
885	0.159	0.088	0.405	0.179	0.168	0.141	0.139	0.09	0.316	0.188	0.394	0.236	0.169	0.186	0.224	0.087	0.297	0.174	0.395	0.213	0.159	0.178	0.207	0.088
900	0.16	0.088	0.413	0.18	0.173	0.142	0.14	0.09	0.313	0.19	0.389	0.234	0.168	0.188	0.231	0.088	0.298	0.174	0.396	0.213	0.16	0.184	0.208	0.088
915	0.161	0.088	0.419	0.18	0.176	0.144	0.142	0.09	0.32	0.189	0.385	0.231	0.17	0.193	0.228	0.088	0.294	0.174	0.392	0.211	0.162	0.194	0.207	0.088
930	0.162	0.088	0.43	0.181	0.179	0.146	0.144	0.09	0.319	0.186	0.387	0.234	0.173	0.198	0.235	0.088	0.298	0.174	0.394	0.217	0.161	0.197	0.209	0.088
945	0.163	0.089	0.435	0.18	0.185	0.145	0.145	0.09	0.315	0.186	0.382	0.233	0.172	0.199	0.235	0.088	0.295	0.175	0.39	0.212	0.159	0.201	0.207	0.087
960	0.165	0.088	0.438	0.178	0.19	0.147	0.146	0.09	0.31	0.187	0.383	0.232	0.173	0.203	0.235	0.088	0.285	0.174	0.389	0.211	0.161	0.203	0.207	0.087
975	0.166	0.088	0.442	0.179	0.196	0.146	0.147	0.09	0.31	0.185	0.382	0.233	0.173	0.206	0.235	0.088	0.289	0.174	0.388	0.212	0.162	0.207	0.207	0.087
990	0.167	0.089	0.451	0.179	0.198	0.146	0.148	0.09	0.31	0.189	0.38	0.233	0.173	0.212	0.238	0.088	0.283	0.175	0.385	0.21	0.163	0.211	0.21	0.087
1005	0.168	0.088	0.456	0.179	0.201	0.145	0.15	0.09	0.308	0.188	0.381	0.231	0.173	0.214	0.241	0.088	0.287	0.175	0.383	0.207	0.163	0.217	0.209	0.087
1020	0.17	0.088	0.462	0.179	0.197	0.144	0.151	0.089	0.306	0.188	0.377	0.233	0.171	0.216	0.242	0.088	0.288	0.175	0.382	0.206	0.16	0.216	0.211	0.086
1035	0.171	0.088	0.458	0.182	0.195	0.144	0.152	0.089	0.295	0.187	0.377	0.231	0.173	0.217	0.242	0.088	0.282	0.175	0.381	0.206	0.161	0.219	0.212	0.086
1050	0.171	0.088	0.455	0.186	0.197	0.144	0.153	0.089	0.298	0.187	0.377	0.232	0.171	0.221	0.243	0.088	0.27	0.173	0.379	0.209	0.162	0.222	0.209	0.086
1065	0.173	0.088	0.463	0.187	0.2	0.144	0.154	0.088	0.3	0.187	0.376	0.23	0.171	0.225	0.241	0.088	0.277	0.174	0.379	0.21	0.162	0.227	0.211	0.086
1080	0.174	0.088	0.464	0.186	0.206	0.144	0.155	0.088	0.294	0.189	0.376	0.227	0.172	0.228	0.241	0.088	0.269	0.172	0.38	0.209	0.161	0.231	0.214	0.086
1095	0.174	0.088	0.461	0.187	0.205	0.143	0.157	0.087	0.29	0.188	0.378	0.229	0.173	0.231	0.241	0.088	0.266	0.172	0.376	0.211	0.163	0.23	0.212	0.086
1110	0.174	0.088	0.456	0.186	0.207	0.143	0.157	0.087	0.283	0.189	0.374	0.231	0.173	0.234	0.238	0.088	0.26	0.171	0.374	0.211	0.163	0.233	0.213	0.086
1125	0.173	0.088	0.45	0.184	0.204	0.142	0.158	0.087	0.282	0.191	0.374	0.229	0.171	0.238	0.242	0.088	0.258	0.172	0.373	0.212	0.162	0.237	0.211	0.086
1140	0.172	0.087	0.455	0.186	0.205	0.141	0.16	0.087	0.28	0.191	0.375	0.228	0.172	0.241	0.239	0.088	0.26	0.173	0.373	0.212	0.163	0.237	0.213	0.086
1155	0.172	0.087	0.459	0.184	0.209	0.142	0.16	0.087	0.269	0.191	0.37	0.229	0.172	0.242	0.235	0.088	0.256	0.173	0.373	0.21	0.162	0.238	0.213	0.086
1170	0.172	0.087	0.456	0.183	0.208	0.143	0.16	0.087	0.265	0.189	0.37	0.228	0.171	0.245	0.237	0.088	0.251	0.172	0.373	0.209	0.166	0.241	0.216	0.086
1185	0.171	0.087	0.452	0.185	0.21	0.144	0.16	0.087	0.265	0.19	0.364	0.226	0.173	0.244	0.235	0.088	0.251	0.172	0.371	0.208	0.163	0.243	0.217	0.086
