time	A1	B1	C1	D1	E1	F1	G1	H1	A2	B2	C2	D2	E2	F2	G2	H2	A3	B3	C3	D3	E3	F3	G3	H3
0	0.102	0.129	0.139	0.121	0.145	0.126	0.121	0.085	0.098	0.129	0.14	0.12	0.141	0.127	0.121	0.095	0.102	0.138	0.149	0.124	0.148	0.126	0.123	0.09
15	0.102	0.13	0.152	0.123	0.155	0.135	0.126	0.084	0.099	0.131	0.151	0.121	0.151	0.133	0.127	0.095	0.105	0.137	0.158	0.124	0.154	0.134	0.128	0.089
30	0.103	0.134	0.16	0.125	0.16	0.14	0.13	0.084	0.099	0.135	0.16	0.123	0.159	0.138	0.13	0.095	0.105	0.143	0.165	0.126	0.161	0.139	0.131	0.089
45	0.103	0.136	0.167	0.126	0.165	0.147	0.133	0.084	0.099	0.137	0.165	0.128	0.163	0.144	0.133	0.094	0.106	0.144	0.171	0.128	0.166	0.145	0.133	0.089
60	0.103	0.139	0.169	0.132	0.168	0.151	0.136	0.084	0.1	0.14	0.17	0.131	0.165	0.147	0.139	0.094	0.106	0.147	0.176	0.131	0.168	0.149	0.135	0.089
75	0.103	0.142	0.175	0.133	0.169	0.154	0.14	0.084	0.1	0.141	0.169	0.13	0.166	0.152	0.143	0.094	0.106	0.149	0.178	0.134	0.17	0.153	0.139	0.089
90	0.103	0.141	0.173	0.132	0.17	0.156	0.141	0.084	0.1	0.143	0.168	0.131	0.167	0.151	0.146	0.094	0.106	0.149	0.181	0.137	0.173	0.157	0.142	0.089
105	0.103	0.141	0.175	0.132	0.17	0.153	0.142	0.084	0.1	0.143	0.173	0.129	0.167	0.155	0.15	0.094	0.106	0.15	0.179	0.138	0.174	0.16	0.146	0.089
120	0.103	0.141	0.174	0.132	0.171	0.149	0.144	0.084	0.101	0.143	0.172	0.132	0.169	0.156	0.151	0.094	0.107	0.15	0.183	0.14	0.176	0.163	0.15	0.088
135	0.104	0.142	0.178	0.132	0.17	0.151	0.145	0.084	0.101	0.144	0.174	0.132	0.169	0.153	0.15	0.094	0.106	0.151	0.182	0.14	0.178	0.167	0.154	0.089
150	0.104	0.144	0.18	0.134	0.171	0.152	0.147	0.084	0.101	0.145	0.175	0.133	0.172	0.157	0.153	0.093	0.107	0.152	0.184	0.14	0.18	0.168	0.153	0.088
165	0.104	0.144	0.181	0.134	0.171	0.153	0.15	0.084	0.102	0.146	0.173	0.134	0.173	0.159	0.155	0.094	0.107	0.152	0.186	0.14	0.182	0.166	0.156	0.088
180	0.104	0.145	0.186	0.134	0.17	0.156	0.152	0.084	0.102	0.147	0.179	0.135	0.173	0.158	0.159	0.093	0.107	0.154	0.192	0.141	0.183	0.164	0.163	0.088
195	0.104	0.145	0.189	0.135	0.17	0.156	0.156	0.084	0.102	0.149	0.183	0.135	0.173	0.156	0.163	0.093	0.108	0.154	0.197	0.142	0.182	0.165	0.163	0.088
210	0.104	0.145	0.191	0.135	0.168	0.156	0.16	0.084	0.102	0.15	0.186	0.136	0.174	0.158	0.168	0.094	0.108	0.154	0.203	0.144	0.183	0.166	0.166	0.088
225	0.104	0.146	0.193	0.136	0.166	0.159	0.164	0.084	0.103	0.151	0.195	0.137	0.174	0.157	0.176	0.093	0.108	0.155	0.21	0.143	0.183	0.168	0.173	0.088
240	0.104	0.146	0.198	0.136	0.166	0.159	0.17	0.084	0.103	0.151	0.2	0.138	0.173	0.157	0.18	0.093	0.108	0.156	0.217	0.144	0.172	0.163	0.178	0.088
255	0.105	0.147	0.202	0.137	0.165	0.161	0.175	0.084	0.103	0.153	0.205	0.139	0.175	0.159	0.188	0.093	0.108	0.159	0.224	0.145	0.179	0.162	0.183	0.088
270	0.105	0.148	0.209	0.137	0.167	0.162	0.183	0.084	0.103	0.155	0.215	0.139	0.174	0.161	0.196	0.093	0.109	0.16	0.23	0.146	0.182	0.163	0.188	0.088
285	0.105	0.149	0.217	0.137	0.168	0.162	0.19	0.084	0.104	0.155	0.22	0.141	0.175	0.162	0.202	0.093	0.109	0.162	0.238	0.146	0.171	0.167	0.193	0.088
300	0.106	0.15	0.225	0.138	0.169	0.162	0.197	0.084	0.105	0.158	0.225	0.143	0.175	0.163	0.215	0.093	0.11	0.163	0.246	0.148	0.179	0.166	0.201	0.088
315	0.106	0.151	0.231	0.138	0.169	0.163	0.205	0.084	0.107	0.158	0.232	0.144	0.176	0.165	0.224	0.093	0.111	0.164	0.248	0.148	0.176	0.167	0.21	0.088
330	0.107	0.152	0.241	0.139	0.169	0.165	0.214	0.084	0.108	0.16	0.235	0.146	0.175	0.166	0.235	0.093	0.112	0.167	0.252	0.149	0.174	0.168	0.215	0.088
345	0.108	0.153	0.249	0.139	0.17	0.166	0.22	0.084	0.109	0.162	0.239	0.146	0.174	0.167	0.243	0.093	0.113	0.169	0.26	0.149	0.177	0.169	0.223	0.088
