time	A1	B1	C1	D1	E1	F1	G1	H1	A2	B2	C2	D2	E2	F2	G2	H2	A3	B3	C3	D3	E3	F3	G3	H3
0	0.134	0.117	0.125	0.127	0.139	0.101	0.118	0.093	0.131	0.112	0.129	0.124	0.131	0.099	0.119	0.088	0.13	0.109	0.123	0.109	0.13	0.112	0.116	0.093
15	0.137	0.116	0.126	0.127	0.137	0.102	0.117	0.092	0.136	0.111	0.13	0.124	0.128	0.1	0.118	0.087	0.136	0.108	0.125	0.109	0.128	0.113	0.116	0.092
30	0.146	0.116	0.128	0.129	0.135	0.102	0.117	0.093	0.143	0.112	0.132	0.126	0.127	0.1	0.117	0.087	0.141	0.109	0.126	0.11	0.127	0.114	0.116	0.092
45	0.152	0.117	0.13	0.132	0.135	0.103	0.116	0.092	0.148	0.113	0.133	0.127	0.126	0.1	0.117	0.087	0.147	0.109	0.127	0.111	0.127	0.114	0.116	0.092
60	0.158	0.118	0.131	0.135	0.136	0.103	0.117	0.092	0.153	0.113	0.134	0.129	0.128	0.101	0.117	0.087	0.153	0.109	0.129	0.114	0.127	0.114	0.114	0.091
75	0.163	0.118	0.132	0.136	0.137	0.103	0.116	0.092	0.16	0.114	0.136	0.131	0.129	0.101	0.117	0.087	0.16	0.111	0.13	0.115	0.128	0.115	0.115	0.091
90	0.169	0.118	0.134	0.138	0.137	0.103	0.116	0.092	0.167	0.114	0.138	0.132	0.129	0.101	0.117	0.087	0.169	0.112	0.133	0.118	0.129	0.115	0.115	0.091
105	0.177	0.118	0.136	0.141	0.137	0.102	0.116	0.092	0.173	0.115	0.139	0.135	0.13	0.1	0.117	0.087	0.172	0.112	0.136	0.119	0.129	0.115	0.115	0.091
120	0.183	0.119	0.139	0.144	0.137	0.103	0.115	0.092	0.181	0.116	0.142	0.136	0.13	0.101	0.117	0.086	0.181	0.113	0.136	0.121	0.13	0.116	0.115	0.091
135	0.191	0.119	0.142	0.146	0.138	0.103	0.115	0.091	0.189	0.116	0.144	0.139	0.131	0.101	0.117	0.086	0.189	0.113	0.14	0.122	0.131	0.117	0.116	0.091
150	0.198	0.119	0.144	0.149	0.138	0.102	0.116	0.092	0.195	0.116	0.147	0.141	0.132	0.102	0.117	0.086	0.197	0.114	0.141	0.125	0.131	0.117	0.115	0.091
165	0.207	0.12	0.148	0.152	0.139	0.102	0.115	0.092	0.205	0.117	0.15	0.145	0.133	0.102	0.117	0.086	0.207	0.114	0.143	0.127	0.133	0.118	0.115	0.091
180	0.218	0.12	0.151	0.154	0.14	0.102	0.116	0.092	0.215	0.117	0.151	0.146	0.133	0.102	0.117	0.086	0.216	0.114	0.147	0.13	0.133	0.119	0.115	0.091
195	0.225	0.121	0.155	0.158	0.14	0.103	0.116	0.091	0.224	0.117	0.156	0.148	0.133	0.103	0.117	0.086	0.225	0.115	0.152	0.133	0.133	0.12	0.116	0.091
210	0.234	0.122	0.159	0.16	0.141	0.103	0.117	0.091	0.234	0.118	0.158	0.151	0.134	0.104	0.118	0.086	0.234	0.116	0.155	0.134	0.134	0.121	0.116	0.091
225	0.243	0.123	0.164	0.163	0.142	0.104	0.117	0.091	0.243	0.119	0.164	0.154	0.135	0.104	0.118	0.086	0.239	0.117	0.159	0.137	0.135	0.121	0.117	0.091
240	0.253	0.124	0.169	0.166	0.142	0.105	0.118	0.091	0.252	0.121	0.169	0.158	0.136	0.105	0.119	0.086	0.248	0.118	0.163	0.141	0.137	0.122	0.117	0.091
255	0.263	0.125	0.175	0.169	0.143	0.105	0.118	0.091	0.259	0.122	0.173	0.16	0.136	0.106	0.119	0.086	0.256	0.119	0.168	0.143	0.137	0.124	0.118	0.091
270	0.27	0.126	0.18	0.173	0.144	0.106	0.119	0.091	0.264	0.122	0.177	0.162	0.138	0.107	0.12	0.086	0.266	0.12	0.171	0.146	0.138	0.125	0.12	0.09
285	0.277	0.127	0.185	0.175	0.144	0.107	0.12	0.091	0.269	0.123	0.182	0.166	0.139	0.107	0.121	0.086	0.27	0.121	0.177	0.149	0.139	0.126	0.12	0.091
300	0.28	0.128	0.191	0.178	0.144	0.108	0.121	0.091	0.277	0.125	0.186	0.17	0.142	0.108	0.123	0.086	0.274	0.123	0.184	0.153	0.139	0.128	0.121	0.091
315	0.289	0.13	0.197	0.18	0.145	0.109	0.123	0.091	0.283	0.127	0.191	0.172	0.143	0.109	0.124	0.086	0.282	0.124	0.187	0.156	0.14	0.129	0.124	0.091
330	0.293	0.131	0.203	0.183	0.146	0.11	0.125	0.091	0.288	0.128	0.195	0.175	0.145	0.11	0.125	0.086	0.287	0.125	0.193	0.159	0.143	0.13	0.125	0.091
345	0.3	0.132	0.209	0.185	0.147	0.111	0.127	0.091	0.292	0.129	0.201	0.178	0.145	0.111	0.128	0.086	0.293	0.127	0.198	0.161	0.146	0.132	0.128	0.091
360	0.303	0.133	0.213	0.187	0.147	0.112	0.128	0.091	0.294	0.132	0.204	0.181	0.146	0.112	0.13	0.086	0.294	0.128	0.202	0.163	0.145	0.133	0.13	0.091
375	0.307	0.134	0.217	0.186	0.147	0.113	0.131	0.091	0.297	0.133	0.209	0.184	0.149	0.113	0.133	0.086	0.301	0.129	0.204	0.165	0.146	0.134	0.133	0.091
390	0.31	0.135	0.222	0.187	0.148	0.114	0.132	0.091	0.302	0.135	0.212	0.184	0.15	0.115	0.135	0.086	0.304	0.13	0.21	0.167	0.149	0.137	0.134	0.091
405	0.313	0.137	0.227	0.187	0.148	0.115	0.135	0.091	0.307	0.136	0.212	0.186	0.15	0.116	0.141	0.086	0.303	0.132	0.216	0.168	0.149	0.138	0.137	0.091
420	0.314	0.138	0.231	0.187	0.148	0.117	0.138	0.091	0.304	0.138	0.219	0.187	0.153	0.117	0.144	0.086	0.308	0.133	0.218	0.169	0.151	0.14	0.14	0.09
435	0.313	0.139	0.235	0.186	0.149	0.118	0.141	0.091	0.305	0.138	0.223	0.187	0.154	0.118	0.15	0.086	0.317	0.135	0.222	0.171	0.154	0.142	0.144	0.09
450	0.312	0.139	0.237	0.186	0.149	0.12	0.144	0.091	0.312	0.14	0.224	0.186	0.158	0.12	0.157	0.086	0.321	0.137	0.226	0.171	0.154	0.144	0.151	0.09
465	0.312	0.14	0.24	0.185	0.149	0.122	0.146	0.091	0.313	0.142	0.228	0.187	0.159	0.122	0.163	0.086	0.322	0.139	0.23	0.171	0.154	0.145	0.158	0.09
480	0.308	0.141	0.242	0.184	0.149	0.124	0.15	0.091	0.314	0.144	0.231	0.187	0.163	0.123	0.169	0.086	0.32	0.14	0.232	0.17	0.155	0.147	0.163	0.09
495	0.309	0.142	0.247	0.183	0.15	0.126	0.155	0.091	0.312	0.144	0.234	0.188	0.163	0.125	0.177	0.086	0.325	0.141	0.235	0.17	0.156	0.15	0.167	0.09
510	0.31	0.141	0.249	0.183	0.149	0.128	0.16	0.091	0.312	0.147	0.236	0.187	0.165	0.128	0.185	0.086	0.325	0.142	0.238	0.171	0.157	0.153	0.174	0.09
525	0.311	0.142	0.251	0.182	0.15	0.131	0.165	0.091	0.311	0.148	0.239	0.187	0.165	0.13	0.193	0.086	0.325	0.142	0.238	0.171	0.157	0.155	0.18	0.09
540	0.309	0.141	0.252	0.183	0.149	0.134	0.169	0.091	0.313	0.146	0.241	0.188	0.164	0.133	0.21	0.086	0.325	0.142	0.242	0.172	0.157	0.16	0.189	0.09
555	0.305	0.142	0.252	0.182	0.15	0.137	0.174	0.091	0.312	0.147	0.24	0.187	0.168	0.135	0.221	0.086	0.324	0.142	0.243	0.172	0.159	0.163	0.202	0.09
570	0.302	0.142	0.254	0.181	0.151	0.14	0.18	0.091	0.303	0.148	0.243	0.187	0.169	0.138	0.236	0.086	0.321	0.144	0.244	0.172	0.161	0.166	0.209	0.09
585	0.302	0.142	0.253	0.182	0.15	0.143	0.184	0.09	0.301	0.149	0.242	0.189	0.172	0.141	0.258	0.086	0.321	0.146	0.243	0.174	0.161	0.17	0.221	0.09
600	0.298	0.142	0.252	0.181	0.151	0.146	0.189	0.091	0.301	0.149	0.242	0.188	0.169	0.144	0.277	0.086	0.322	0.149	0.244	0.173	0.161	0.175	0.242	0.09
615	0.293	0.142	0.253	0.181	0.15	0.149	0.193	0.09	0.297	0.15	0.245	0.188	0.168	0.148	0.283	0.086	0.319	0.153	0.245	0.174	0.161	0.178	0.256	0.09
630	0.29	0.141	0.256	0.18	0.151	0.152	0.195	0.091	0.294	0.149	0.245	0.187	0.168	0.15	0.291	0.086	0.314	0.154	0.244	0.174	0.164	0.183	0.263	0.09
645	0.287	0.142	0.255	0.18	0.151	0.155	0.197	0.09	0.29	0.15	0.244	0.187	0.17	0.154	0.296	0.086	0.32	0.153	0.248	0.175	0.166	0.187	0.273	0.09
660	0.282	0.142	0.255	0.18	0.151	0.158	0.2	0.09	0.29	0.154	0.245	0.189	0.171	0.156	0.301	0.086	0.321	0.158	0.25	0.176	0.166	0.19	0.288	0.09
675	0.281	0.142	0.255	0.18	0.15	0.16	0.202	0.09	0.287	0.154	0.245	0.19	0.173	0.159	0.298	0.086	0.324	0.161	0.253	0.177	0.166	0.193	0.301	0.09
690	0.282	0.142	0.255	0.179	0.151	0.163	0.203	0.091	0.288	0.153	0.245	0.191	0.173	0.161	0.305	0.086	0.322	0.159	0.254	0.179	0.167	0.198	0.304	0.09
705	0.278	0.141	0.255	0.179	0.151	0.165	0.205	0.091	0.289	0.153	0.245	0.194	0.171	0.164	0.31	0.086	0.327	0.159	0.254	0.18	0.168	0.2	0.305	0.09
720	0.278	0.141	0.256	0.179	0.151	0.167	0.205	0.09	0.288	0.153	0.247	0.195	0.172	0.166	0.308	0.086	0.327	0.162	0.257	0.18	0.168	0.204	0.308	0.09
735	0.275	0.14	0.256	0.179	0.151	0.169	0.206	0.09	0.286	0.152	0.247	0.196	0.173	0.167	0.305	0.086	0.324	0.161	0.258	0.18	0.167	0.206	0.301	0.09
750	0.27	0.14	0.256	0.179	0.151	0.17	0.205	0.09	0.286	0.153	0.249	0.198	0.175	0.169	0.299	0.086	0.33	0.162	0.258	0.182	0.167	0.209	0.296	0.09
765	0.266	0.14	0.256	0.179	0.152	0.171	0.208	0.09	0.287	0.153	0.249	0.202	0.176	0.17	0.296	0.086	0.331	0.163	0.257	0.183	0.166	0.211	0.294	0.09
780	0.265	0.14	0.257	0.179	0.152	0.173	0.208	0.09	0.287	0.152	0.249	0.205	0.177	0.172	0.293	0.086	0.332	0.164	0.256	0.185	0.167	0.213	0.291	0.09
795	0.261	0.139	0.258	0.179	0.151	0.174	0.208	0.09	0.292	0.153	0.249	0.205	0.177	0.173	0.294	0.086	0.338	0.164	0.257	0.186	0.166	0.215	0.281	0.09
810	0.262	0.138	0.258	0.179	0.151	0.175	0.206	0.091	0.291	0.161	0.25	0.209	0.176	0.173	0.29	0.086	0.337	0.167	0.26	0.188	0.165	0.218	0.277	0.09
