time	A1	B1	C1	D1	E1	F1	G1	H1	A2	B2	C2	D2	E2	F2	G2	H2	A3	B3	C3	D3	E3	F3	G3	H3
0	0.097	0.083	0.107	0.09	0.101	0.077	0.102	0.055	0.096	0.083	0.106	0.088	0.104	0.081	0.093	0.049	0.096	0.084	0.106	0.086	0.102	0.076	0.092	0.049
15	0.093	0.08	0.103	0.086	0.098	0.074	0.098	0.055	0.094	0.08	0.101	0.085	0.102	0.078	0.091	0.049	0.093	0.081	0.101	0.084	0.101	0.073	0.094	0.05
30	0.092	0.079	0.101	0.085	0.096	0.073	0.097	0.054	0.092	0.08	0.1	0.084	0.099	0.078	0.09	0.049	0.1	0.08	0.099	0.083	0.099	0.073	0.089	0.05
45	0.09	0.079	0.1	0.084	0.095	0.073	0.096	0.055	0.091	0.079	0.099	0.083	0.098	0.078	0.089	0.049	0.093	0.08	0.098	0.081	0.098	0.073	0.088	0.05
60	0.09	0.078	0.099	0.083	0.094	0.073	0.096	0.054	0.091	0.079	0.098	0.082	0.097	0.077	0.089	0.049	0.093	0.079	0.098	0.081	0.097	0.073	0.088	0.05
75	0.089	0.078	0.098	0.083	0.093	0.072	0.096	0.054	0.09	0.078	0.097	0.081	0.096	0.077	0.088	0.049	0.092	0.079	0.097	0.08	0.096	0.073	0.087	0.05
90	0.089	0.078	0.098	0.082	0.092	0.072	0.095	0.055	0.089	0.078	0.097	0.081	0.095	0.077	0.088	0.049	0.091	0.079	0.096	0.079	0.096	0.073	0.087	0.05
105	0.088	0.077	0.097	0.081	0.091	0.072	0.095	0.054	0.088	0.078	0.096	0.08	0.094	0.078	0.088	0.049	0.091	0.078	0.096	0.079	0.095	0.073	0.087	0.05
120	0.087	0.077	0.096	0.081	0.09	0.072	0.092	0.054	0.088	0.078	0.095	0.08	0.093	0.077	0.087	0.049	0.09	0.078	0.095	0.079	0.094	0.073	0.086	0.05
135	0.086	0.077	0.095	0.08	0.089	0.072	0.093	0.055	0.087	0.077	0.095	0.079	0.093	0.077	0.087	0.049	0.09	0.078	0.095	0.078	0.093	0.073	0.086	0.05
150	0.086	0.076	0.094	0.08	0.088	0.071	0.094	0.055	0.086	0.077	0.094	0.079	0.092	0.077	0.086	0.049	0.088	0.078	0.095	0.078	0.093	0.072	0.085	0.05
165	0.085	0.076	0.093	0.08	0.088	0.071	0.094	0.054	0.086	0.077	0.093	0.079	0.091	0.077	0.085	0.049	0.088	0.077	0.094	0.078	0.093	0.072	0.085	0.05
180	0.084	0.075	0.093	0.079	0.087	0.071	0.091	0.054	0.085	0.076	0.093	0.078	0.09	0.076	0.085	0.049	0.087	0.077	0.093	0.077	0.092	0.072	0.084	0.05
195	0.084	0.075	0.092	0.079	0.087	0.071	0.093	0.054	0.085	0.076	0.092	0.078	0.09	0.077	0.084	0.049	0.086	0.076	0.093	0.077	0.091	0.072	0.083	0.05
210	0.083	0.074	0.091	0.079	0.086	0.07	0.09	0.054	0.084	0.075	0.092	0.078	0.09	0.076	0.084	0.049	0.085	0.076	0.092	0.077	0.091	0.072	0.083	0.049
225	0.082	0.074	0.09	0.078	0.086	0.07	0.09	0.054	0.083	0.075	0.092	0.078	0.09	0.076	0.083	0.049	0.085	0.076	0.092	0.076	0.09	0.071	0.082	0.05
240	0.082	0.074	0.09	0.078	0.085	0.07	0.088	0.054	0.083	0.075	0.091	0.077	0.089	0.076	0.082	0.049	0.084	0.075	0.093	0.076	0.09	0.071	0.081	0.049
255	0.081	0.073	0.089	0.078	0.084	0.069	0.09	0.054	0.083	0.074	0.091	0.077	0.088	0.075	0.082	0.049	0.084	0.075	0.092	0.076	0.09	0.071	0.081	0.049
270	0.08	0.072	0.089	0.077	0.084	0.069	0.086	0.054	0.082	0.074	0.09	0.076	0.089	0.075	0.081	0.049	0.083	0.074	0.091	0.076	0.09	0.071	0.08	0.049
285	0.08	0.072	0.088	0.077	0.083	0.068	0.089	0.054	0.081	0.073	0.089	0.076	0.088	0.075	0.08	0.049	0.083	0.074	0.09	0.076	0.089	0.07	0.08	0.049
300	0.079	0.071	0.087	0.077	0.083	0.068	0.087	0.054	0.08	0.073	0.089	0.077	0.087	0.074	0.08	0.049	0.082	0.074	0.09	0.075	0.088	0.07	0.079	0.049
315	0.079	0.071	0.086	0.076	0.082	0.068	0.087	0.054	0.08	0.073	0.088	0.076	0.087	0.074	0.079	0.049	0.083	0.073	0.09	0.075	0.089	0.07	0.079	0.049
330	0.078	0.07	0.086	0.076	0.082	0.067	0.085	0.054	0.08	0.072	0.088	0.076	0.086	0.074	0.079	0.048	0.082	0.073	0.091	0.075	0.088	0.069	0.078	0.049
345	0.078	0.07	0.085	0.075	0.081	0.067	0.087	0.054	0.079	0.072	0.087	0.075	0.086	0.074	0.078	0.049	0.081	0.073	0.09	0.074	0.088	0.069	0.078	0.049
360	0.077	0.069	0.085	0.075	0.081	0.067	0.085	0.054	0.078	0.071	0.086	0.075	0.085	0.073	0.078	0.049	0.081	0.072	0.089	0.074	0.087	0.069	0.077	0.049
375	0.077	0.069	0.084	0.074	0.081	0.066	0.084	0.054	0.078	0.071	0.086	0.075	0.085	0.073	0.077	0.048	0.081	0.072	0.087	0.074	0.087	0.069	0.077	0.049
390	0.076	0.069	0.083	0.074	0.08	0.066	0.086	0.054	0.078	0.07	0.085	0.075	0.085	0.073	0.077	0.049	0.08	0.071	0.087	0.074	0.086	0.068	0.076	0.05
405	0.076	0.068	0.083	0.074	0.08	0.066	0.084	0.054	0.077	0.07	0.085	0.074	0.084	0.072	0.076	0.049	0.08	0.071	0.088	0.073	0.085	0.068	0.076	0.05
420	0.075	0.068	0.082	0.073	0.079	0.066	0.08	0.054	0.077	0.07	0.085	0.074	0.084	0.072	0.076	0.048	0.08	0.071	0.087	0.073	0.086	0.068	0.076	0.049
435	0.075	0.067	0.082	0.073	0.079	0.065	0.079	0.054	0.077	0.069	0.084	0.074	0.083	0.072	0.076	0.048	0.08	0.07	0.086	0.073	0.085	0.068	0.075	0.049
450	0.075	0.067	0.081	0.072	0.078	0.065	0.08	0.054	0.077	0.069	0.084	0.073	0.083	0.072	0.075	0.048	0.08	0.07	0.085	0.072	0.084	0.068	0.075	0.049
465	0.074	0.067	0.081	0.073	0.078	0.065	0.082	0.054	0.076	0.069	0.083	0.073	0.083	0.071	0.075	0.049	0.08	0.07	0.086	0.072	0.084	0.067	0.075	0.05
480	0.074	0.067	0.08	0.072	0.077	0.064	0.082	0.054	0.076	0.068	0.083	0.073	0.082	0.071	0.074	0.048	0.079	0.07	0.086	0.072	0.083	0.067	0.074	0.049
495	0.073	0.066	0.08	0.072	0.077	0.064	0.077	0.053	0.076	0.068	0.082	0.072	0.082	0.071	0.074	0.048	0.079	0.069	0.085	0.072	0.084	0.067	0.074	0.049
510	0.073	0.066	0.079	0.072	0.076	0.064	0.079	0.053	0.075	0.068	0.082	0.073	0.082	0.071	0.074	0.048	0.078	0.069	0.086	0.072	0.084	0.067	0.073	0.049
525	0.073	0.066	0.078	0.071	0.076	0.063	0.078	0.053	0.075	0.068	0.081	0.072	0.081	0.07	0.073	0.048	0.078	0.069	0.086	0.072	0.083	0.066	0.073	0.049
540	0.072	0.065	0.078	0.071	0.075	0.063	0.08	0.053	0.075	0.067	0.081	0.072	0.081	0.07	0.073	0.048	0.077	0.068	0.084	0.071	0.082	0.066	0.073	0.049
555	0.072	0.065	0.078	0.07	0.075	0.063	0.075	0.053	0.075	0.067	0.08	0.071	0.08	0.07	0.072	0.048	0.077	0.068	0.083	0.071	0.082	0.066	0.072	0.049
570	0.071	0.065	0.077	0.07	0.075	0.063	0.079	0.053	0.074	0.067	0.08	0.071	0.08	0.07	0.072	0.048	0.077	0.068	0.082	0.071	0.081	0.066	0.072	0.049
585	0.071	0.064	0.077	0.07	0.074	0.062	0.076	0.053	0.074	0.067	0.079	0.071	0.079	0.069	0.072	0.048	0.077	0.068	0.081	0.07	0.081	0.066	0.072	0.049
600	0.071	0.064	0.076	0.07	0.074	0.062	0.075	0.053	0.074	0.066	0.079	0.071	0.079	0.069	0.071	0.048	0.077	0.068	0.081	0.07	0.081	0.065	0.071	0.049
615	0.07	0.064	0.076	0.069	0.073	0.062	0.078	0.053	0.073	0.066	0.079	0.07	0.079	0.069	0.071	0.048	0.076	0.068	0.08	0.07	0.08	0.065	0.071	0.049
630	0.07	0.063	0.076	0.069	0.073	0.062	0.074	0.053	0.073	0.066	0.078	0.07	0.078	0.069	0.071	0.048	0.076	0.067	0.08	0.07	0.08	0.065	0.071	0.049
645	0.07	0.063	0.075	0.069	0.072	0.061	0.073	0.053	0.073	0.066	0.078	0.07	0.078	0.069	0.07	0.048	0.076	0.067	0.079	0.07	0.08	0.065	0.071	0.049
660	0.07	0.063	0.075	0.069	0.072	0.061	0.075	0.053	0.073	0.066	0.077	0.07	0.078	0.068	0.07	0.048	0.076	0.067	0.079	0.069	0.079	0.064	0.07	0.049
675	0.069	0.063	0.075	0.068	0.072	0.061	0.072	0.053	0.073	0.065	0.077	0.069	0.077	0.068	0.07	0.048	0.075	0.067	0.079	0.069	0.079	0.064	0.071	0.049
690	0.069	0.063	0.074	0.068	0.071	0.061	0.073	0.052	0.072	0.065	0.077	0.069	0.077	0.068	0.069	0.047	0.075	0.067	0.078	0.069	0.078	0.064	0.07	0.048
705	0.069	0.062	0.074	0.068	0.071	0.061	0.071	0.052	0.072	0.065	0.076	0.069	0.077	0.068	0.069	0.048	0.075	0.067	0.079	0.069	0.078	0.064	0.07	0.049
720	0.068	0.062	0.073	0.067	0.07	0.06	0.07	0.053	0.072	0.065	0.076	0.068	0.076	0.068	0.069	0.048	0.075	0.066	0.078	0.068	0.078	0.064	0.07	0.049
735	0.068	0.062	0.073	0.067	0.07	0.06	0.072	0.052	0.072	0.065	0.076	0.068	0.076	0.067	0.068	0.047	0.074	0.066	0.077	0.069	0.077	0.064	0.069	0.049
750	0.068	0.061	0.072	0.068	0.069	0.06	0.074	0.052	0.072	0.065	0.075	0.068	0.075	0.067	0.068	0.047	0.074	0.066	0.077	0.068	0.077	0.063	0.069	0.048
765	0.067	0.061	0.072	0.067	0.069	0.059	0.07	0.053	0.071	0.064	0.075	0.068	0.075	0.067	0.068	0.048	0.074	0.066	0.077	0.068	0.077	0.063	0.069	0.049
780	0.066	0.061	0.072	0.066	0.068	0.059	0.069	0.052	0.071	0.064	0.075	0.068	0.075	0.067	0.067	0.047	0.074	0.066	0.076	0.068	0.076	0.063	0.068	0.048
795	0.067	0.061	0.071	0.066	0.068	0.059	0.069	0.052	0.071	0.064	0.075	0.068	0.074	0.067	0.067	0.047	0.074	0.066	0.077	0.067	0.076	0.063	0.067	0.048
810	0.066	0.061	0.071	0.066	0.068	0.059	0.068	0.052	0.07	0.064	0.075	0.067	0.074	0.066	0.066	0.047	0.074	0.066	0.076	0.067	0.076	0.063	0.067	0.049
825	0.065	0.06	0.07	0.066	0.067	0.058	0.067	0.052	0.071	0.064	0.074	0.067	0.074	0.066	0.066	0.047	0.074	0.065	0.076	0.067	0.076	0.063	0.067	0.048
840	0.065	0.06	0.07	0.066	0.067	0.058	0.066	0.052	0.07	0.064	0.074	0.067	0.073	0.066	0.065	0.047	0.073	0.065	0.076	0.067	0.075	0.062	0.066	0.048
855	0.065	0.059	0.069	0.065	0.066	0.058	0.068	0.051	0.07	0.063	0.074	0.067	0.073	0.066	0.065	0.047	0.073	0.065	0.075	0.067	0.075	0.062	0.066	0.048
870	0.065	0.059	0.069	0.065	0.066	0.058	0.065	0.051	0.07	0.063	0.073	0.067	0.073	0.066	0.065	0.047	0.073	0.065	0.075	0.066	0.075	0.062	0.065	0.048
885	0.064	0.059	0.069	0.064	0.065	0.058	0.064	0.051	0.07	0.063	0.073	0.067	0.072	0.066	0.064	0.047	0.073	0.065	0.074	0.066	0.074	0.062	0.065	0.048
900	0.063	0.059	0.068	0.064	0.065	0.057	0.064	0.051	0.069	0.063	0.073	0.066	0.072	0.065	0.063	0.047	0.072	0.065	0.075	0.066	0.074	0.062	0.064	0.048
915	0.063	0.058	0.068	0.064	0.064	0.057	0.064	0.051	0.069	0.063	0.072	0.066	0.072	0.065	0.064	0.047	0.072	0.065	0.074	0.066	0.074	0.062	0.064	0.048
930	0.063	0.058	0.067	0.064	0.064	0.056	0.062	0.05	0.069	0.063	0.072	0.066	0.071	0.065	0.063	0.046	0.072	0.065	0.074	0.066	0.073	0.061	0.064	0.048
945	0.062	0.058	0.066	0.064	0.063	0.056	0.062	0.05	0.069	0.063	0.072	0.066	0.071	0.065	0.062	0.046	0.072	0.065	0.074	0.066	0.073	0.061	0.064	0.048
960	0.062	0.058	0.067	0.063	0.063	0.056	0.061	0.051	0.069	0.063	0.072	0.066	0.071	0.064	0.062	0.047	0.072	0.064	0.073	0.065	0.073	0.061	0.063	0.048
975	0.061	0.057	0.066	0.063	0.062	0.056	0.06	0.05	0.069	0.062	0.072	0.066	0.07	0.064	0.061	0.047	0.072	0.064	0.073	0.066	0.073	0.061	0.063	0.047
990	0.06	0.057	0.066	0.062	0.062	0.055	0.059	0.048	0.068	0.062	0.071	0.065	0.07	0.064	0.06	0.046	0.072	0.064	0.073	0.065	0.072	0.061	0.062	0.048
1005	0.06	0.057	0.065	0.062	0.062	0.055	0.059	0.047	0.068	0.062	0.071	0.065	0.07	0.064	0.06	0.046	0.071	0.064	0.073	0.065	0.072	0.061	0.061	0.048
1020	0.06	0.056	0.064	0.062	0.061	0.055	0.058	0.047	0.068	0.062	0.071	0.065	0.069	0.063	0.06	0.045	0.071	0.064	0.072	0.065	0.072	0.06	0.061	0.047
1035	0.06	0.056	0.064	0.062	0.06	0.054	0.057	0.047	0.068	0.062	0.071	0.065	0.069	0.063	0.059	0.043	0.071	0.064	0.072	0.065	0.072	0.06	0.06	0.047
1050	0.059	0.055	0.064	0.061	0.06	0.054	0.058	0.047	0.068	0.061	0.07	0.065	0.069	0.063	0.058	0.042	0.071	0.063	0.072	0.064	0.071	0.06	0.06	0.047
1065	0.058	0.055	0.063	0.061	0.059	0.054	0.055	0.051	0.067	0.061	0.07	0.064	0.069	0.063	0.058	0.041	0.071	0.064	0.072	0.065	0.071	0.06	0.059	0.047
1080	0.057	0.055	0.063	0.061	0.059	0.053	0.054	0.051	0.067	0.061	0.07	0.064	0.068	0.062	0.057	0.04	0.071	0.063	0.072	0.064	0.071	0.059	0.059	0.047
