time	A7	B7	C7	D7	E7	F7	G7	H7	A8	B8	C8	D8	E8	F8	G8	H8	A9	B9	C9	D9	E9	F9	G9	H9
0	0.094	0.082	0.103	0.082	0.103	0.079	0.093	0.052	0.098	0.082	0.106	0.084	0.1	0.076	0.094	0.051	0.097	0.087	0.106	0.085	0.102	0.076	0.095	0.05
15	0.089	0.079	0.097	0.081	0.102	0.076	0.09	0.052	0.093	0.079	0.1	0.082	0.1	0.073	0.089	0.051	0.092	0.084	0.099	0.083	0.101	0.072	0.09	0.05
30	0.087	0.078	0.093	0.081	0.101	0.075	0.088	0.052	0.092	0.078	0.095	0.082	0.097	0.072	0.087	0.051	0.095	0.083	0.096	0.083	0.098	0.072	0.089	0.05
45	0.085	0.078	0.09	0.078	0.099	0.074	0.086	0.052	0.091	0.078	0.093	0.08	0.095	0.072	0.086	0.051	0.089	0.082	0.092	0.08	0.097	0.071	0.088	0.05
60	0.088	0.077	0.09	0.078	0.097	0.073	0.085	0.052	0.089	0.077	0.092	0.079	0.094	0.07	0.084	0.051	0.087	0.082	0.092	0.08	0.096	0.07	0.086	0.05
75	0.087	0.077	0.089	0.077	0.096	0.072	0.084	0.052	0.088	0.077	0.091	0.078	0.093	0.07	0.084	0.051	0.087	0.082	0.091	0.079	0.095	0.069	0.086	0.05
90	0.085	0.077	0.089	0.077	0.095	0.072	0.084	0.052	0.087	0.077	0.091	0.078	0.092	0.07	0.083	0.051	0.086	0.082	0.091	0.078	0.094	0.069	0.086	0.05
105	0.085	0.077	0.089	0.076	0.094	0.072	0.083	0.052	0.087	0.077	0.091	0.077	0.091	0.069	0.082	0.051	0.085	0.081	0.091	0.078	0.093	0.069	0.085	0.05
120	0.084	0.077	0.089	0.076	0.094	0.072	0.083	0.052	0.087	0.077	0.091	0.077	0.091	0.069	0.082	0.051	0.085	0.081	0.091	0.077	0.093	0.069	0.084	0.05
135	0.084	0.077	0.089	0.075	0.093	0.072	0.082	0.052	0.086	0.077	0.09	0.076	0.091	0.069	0.082	0.051	0.084	0.081	0.09	0.077	0.092	0.069	0.084	0.05
150	0.084	0.077	0.089	0.075	0.092	0.072	0.082	0.052	0.086	0.076	0.09	0.076	0.089	0.069	0.081	0.051	0.084	0.081	0.09	0.077	0.091	0.068	0.084	0.05
165	0.083	0.076	0.089	0.075	0.091	0.071	0.081	0.052	0.086	0.076	0.09	0.076	0.089	0.069	0.081	0.051	0.083	0.081	0.09	0.076	0.091	0.068	0.084	0.05
180	0.082	0.076	0.089	0.075	0.091	0.072	0.081	0.052	0.085	0.075	0.09	0.075	0.089	0.069	0.081	0.051	0.084	0.08	0.09	0.076	0.09	0.068	0.083	0.05
195	0.082	0.076	0.089	0.075	0.09	0.072	0.081	0.052	0.085	0.076	0.091	0.075	0.089	0.069	0.08	0.051	0.083	0.08	0.09	0.076	0.091	0.068	0.082	0.05
210	0.082	0.075	0.088	0.075	0.09	0.072	0.08	0.052	0.085	0.075	0.09	0.075	0.088	0.068	0.079	0.051	0.082	0.08	0.09	0.076	0.089	0.068	0.082	0.05
225	0.082	0.075	0.089	0.075	0.09	0.071	0.079	0.052	0.085	0.075	0.09	0.075	0.087	0.068	0.079	0.051	0.082	0.08	0.09	0.075	0.089	0.068	0.081	0.05
240	0.081	0.075	0.089	0.074	0.09	0.071	0.079	0.052	0.085	0.074	0.09	0.075	0.088	0.068	0.079	0.05	0.082	0.079	0.089	0.075	0.09	0.068	0.081	0.05
255	0.082	0.074	0.089	0.074	0.089	0.071	0.079	0.052	0.084	0.074	0.09	0.075	0.087	0.068	0.078	0.051	0.082	0.079	0.089	0.075	0.089	0.068	0.081	0.05
