time	A4	B4	C4	D4	E4	F4	G4	H4	A5	B5	C5	D5	E5	F5	G5	H5	A6	B6	C6	D6	E6	F6	G6	H6
0	0.094	0.082	0.107	0.085	0.099	0.08	0.092	0.049	0.096	0.085	0.108	0.085	0.101	0.146	0.094	0.05	0.098	0.083	0.106	0.084	0.101	0.083	0.093	0.049
15	0.091	0.08	0.102	0.083	0.096	0.077	0.095	0.049	0.095	0.082	0.104	0.083	0.099	0.166	0.096	0.05	0.096	0.08	0.102	0.082	0.101	0.079	0.093	0.049
30	0.091	0.079	0.1	0.083	0.096	0.076	0.089	0.049	0.093	0.082	0.102	0.082	0.098	0.169	0.091	0.05	0.095	0.079	0.1	0.081	0.098	0.08	0.09	0.049
45	0.093	0.078	0.099	0.082	0.095	0.075	0.088	0.049	0.094	0.081	0.1	0.082	0.097	0.174	0.09	0.05	0.094	0.079	0.099	0.081	0.096	0.08	0.089	0.049
60	0.092	0.078	0.098	0.081	0.093	0.075	0.087	0.049	0.097	0.081	0.1	0.081	0.096	0.177	0.09	0.05	0.098	0.079	0.098	0.081	0.095	0.08	0.088	0.049
75	0.091	0.078	0.098	0.08	0.092	0.075	0.087	0.049	0.093	0.081	0.099	0.08	0.095	0.175	0.089	0.05	0.096	0.079	0.098	0.08	0.094	0.08	0.088	0.049
90	0.09	0.077	0.097	0.08	0.092	0.075	0.086	0.049	0.094	0.08	0.099	0.08	0.094	0.177	0.089	0.05	0.095	0.079	0.097	0.079	0.093	0.08	0.088	0.049
105	0.089	0.077	0.097	0.079	0.091	0.075	0.086	0.049	0.093	0.08	0.098	0.079	0.094	0.175	0.088	0.05	0.094	0.078	0.097	0.079	0.093	0.079	0.087	0.049
120	0.088	0.077	0.096	0.079	0.091	0.075	0.086	0.049	0.092	0.08	0.098	0.079	0.093	0.172	0.088	0.05	0.094	0.078	0.097	0.079	0.092	0.079	0.087	0.049
135	0.088	0.077	0.096	0.078	0.09	0.075	0.085	0.049	0.092	0.08	0.097	0.078	0.092	0.175	0.088	0.05	0.094	0.078	0.096	0.078	0.091	0.079	0.086	0.049
