time	A4	B4	C4	D4	E4	F4	G4	H4	A5	B5	C5	D5	E5	F5	G5	H5	A6	B6	C6	D6	E6	F6	G6	H6
0	0.127	0.11	0.119	0.129	0.125	0.105	0.111	0.082	0.129	0.111	0.121	0.188	0.127	0.12	0.119	0.086	0.129	0.111	0.118	0.108	0.124	0.103	0.116	0.084
15	0.132	0.108	0.12	0.127	0.122	0.107	0.111	0.082	0.133	0.109	0.123	0.205	0.125	0.127	0.118	0.085	0.135	0.109	0.118	0.107	0.123	0.104	0.115	0.083
30	0.135	0.109	0.123	0.129	0.122	0.107	0.111	0.082	0.137	0.11	0.125	0.216	0.124	0.132	0.118	0.085	0.14	0.109	0.12	0.108	0.122	0.104	0.115	0.084
45	0.14	0.109	0.125	0.129	0.121	0.108	0.11	0.082	0.139	0.11	0.126	0.225	0.125	0.128	0.117	0.085	0.141	0.11	0.121	0.11	0.122	0.105	0.114	0.083
60	0.142	0.109	0.127	0.13	0.123	0.108	0.11	0.082	0.141	0.111	0.127	0.224	0.125	0.13	0.115	0.086	0.141	0.109	0.123	0.112	0.122	0.105	0.114	0.083
75	0.143	0.111	0.127	0.132	0.123	0.109	0.109	0.082	0.144	0.112	0.129	0.216	0.125	0.133	0.117	0.085	0.142	0.111	0.124	0.113	0.122	0.106	0.115	0.083
90	0.145	0.112	0.128	0.135	0.123	0.108	0.11	0.082	0.146	0.113	0.131	0.222	0.125	0.16	0.117	0.085	0.144	0.112	0.125	0.114	0.123	0.105	0.115	0.083
105	0.15	0.112	0.13	0.136	0.123	0.109	0.11	0.082	0.151	0.113	0.133	0.223	0.125	0.162	0.116	0.085	0.15	0.113	0.126	0.116	0.122	0.106	0.115	0.083
120	0.155	0.113	0.135	0.135	0.123	0.109	0.11	0.082	0.158	0.113	0.135	0.211	0.125	0.163	0.116	0.085	0.156	0.113	0.129	0.115	0.121	0.106	0.115	0.083
135	0.162	0.113	0.135	0.135	0.122	0.109	0.11	0.082	0.163	0.113	0.137	0.212	0.125	0.164	0.116	0.086	0.164	0.113	0.13	0.114	0.122	0.106	0.115	0.083
150	0.168	0.113	0.137	0.134	0.122	0.11	0.11	0.082	0.171	0.114	0.138	0.198	0.125	0.164	0.116	0.085	0.171	0.114	0.133	0.113	0.122	0.107	0.115	0.083
165	0.176	0.113	0.14	0.133	0.122	0.11	0.11	0.082	0.177	0.114	0.141	0.192	0.125	0.167	0.116	0.085	0.178	0.114	0.135	0.113	0.122	0.107	0.115	0.083
180	0.183	0.114	0.141	0.133	0.122	0.111	0.11	0.082	0.186	0.114	0.144	0.191	0.125	0.168	0.116	0.085	0.185	0.114	0.138	0.112	0.122	0.107	0.116	0.083
195	0.192	0.113	0.146	0.133	0.123	0.112	0.11	0.082	0.196	0.114	0.148	0.192	0.127	0.17	0.116	0.085	0.192	0.114	0.141	0.113	0.122	0.108	0.116	0.083
210	0.201	0.114	0.151	0.133	0.122	0.113	0.111	0.082	0.204	0.115	0.15	0.186	0.127	0.172	0.116	0.085	0.202	0.114	0.145	0.112	0.123	0.108	0.116	0.083
225	0.21	0.114	0.153	0.133	0.122	0.113	0.111	0.082	0.211	0.114	0.153	0.185	0.127	0.172	0.117	0.085	0.21	0.114	0.148	0.112	0.122	0.109	0.117	0.083
240	0.217	0.115	0.156	0.133	0.123	0.114	0.112	0.082	0.216	0.115	0.158	0.186	0.128	0.175	0.117	0.085	0.22	0.115	0.151	0.112	0.123	0.11	0.116	0.083
255	0.221	0.115	0.16	0.133	0.124	0.115	0.112	0.082	0.227	0.116	0.162	0.184	0.128	0.178	0.117	0.085	0.23	0.115	0.154	0.113	0.124	0.11	0.118	0.083
270	0.229	0.116	0.165	0.133	0.125	0.116	0.113	0.082	0.235	0.117	0.166	0.186	0.13	0.179	0.118	0.085	0.237	0.115	0.159	0.113	0.124	0.111	0.119	0.083
285	0.236	0.116	0.17	0.133	0.125	0.117	0.113	0.082	0.243	0.118	0.17	0.184	0.131	0.181	0.119	0.085	0.245	0.116	0.165	0.113	0.126	0.112	0.12	0.083
300	0.243	0.117	0.174	0.132	0.127	0.118	0.114	0.082	0.248	0.119	0.174	0.184	0.133	0.184	0.12	0.085	0.254	0.116	0.167	0.113	0.126	0.113	0.122	0.083
315	0.249	0.118	0.178	0.131	0.128	0.119	0.115	0.082	0.254	0.121	0.181	0.184	0.134	0.186	0.121	0.085	0.263	0.117	0.174	0.112	0.127	0.114	0.124	0.083
330	0.255	0.119	0.182	0.132	0.129	0.12	0.117	0.082	0.259	0.121	0.184	0.186	0.136	0.19	0.122	0.085	0.268	0.118	0.18	0.112	0.128	0.115	0.125	0.083
345	0.256	0.119	0.19	0.133	0.13	0.122	0.119	0.082	0.267	0.122	0.191	0.185	0.138	0.193	0.124	0.085	0.272	0.118	0.186	0.112	0.129	0.116	0.129	0.083
360	0.258	0.121	0.193	0.133	0.132	0.123	0.121	0.082	0.273	0.123	0.192	0.185	0.139	0.195	0.125	0.085	0.278	0.12	0.189	0.112	0.129	0.117	0.131	0.083
375	0.261	0.122	0.199	0.132	0.134	0.124	0.123	0.082	0.277	0.123	0.197	0.187	0.141	0.197	0.127	0.085	0.281	0.12	0.195	0.112	0.131	0.119	0.136	0.083
390	0.262	0.123	0.205	0.133	0.136	0.126	0.125	0.082	0.276	0.125	0.203	0.187	0.142	0.201	0.13	0.086	0.277	0.121	0.196	0.113	0.132	0.12	0.138	0.083
405	0.268	0.124	0.207	0.132	0.136	0.128	0.127	0.082	0.284	0.125	0.209	0.187	0.144	0.204	0.133	0.085	0.278	0.122	0.2	0.112	0.134	0.121	0.144	0.083
420	0.27	0.126	0.21	0.133	0.136	0.129	0.13	0.082	0.286	0.129	0.211	0.187	0.145	0.208	0.135	0.086	0.28	0.123	0.204	0.112	0.134	0.123	0.148	0.083
435	0.269	0.128	0.214	0.133	0.139	0.131	0.133	0.082	0.287	0.13	0.214	0.19	0.147	0.211	0.139	0.086	0.28	0.124	0.209	0.113	0.135	0.125	0.152	0.083
450	0.272	0.128	0.219	0.133	0.142	0.133	0.14	0.082	0.287	0.132	0.218	0.187	0.147	0.214	0.143	0.085	0.279	0.125	0.21	0.114	0.137	0.126	0.163	0.083
465	0.269	0.132	0.221	0.134	0.142	0.135	0.143	0.082	0.285	0.134	0.221	0.188	0.147	0.217	0.149	0.086	0.28	0.126	0.213	0.114	0.139	0.128	0.172	0.083
480	0.266	0.132	0.224	0.135	0.143	0.137	0.147	0.082	0.282	0.137	0.223	0.191	0.15	0.219	0.156	0.086	0.277	0.127	0.216	0.114	0.14	0.13	0.179	0.083
495	0.267	0.133	0.223	0.135	0.142	0.139	0.15	0.082	0.285	0.141	0.226	0.185	0.149	0.224	0.159	0.085	0.277	0.128	0.22	0.114	0.141	0.132	0.187	0.083
510	0.264	0.135	0.23	0.135	0.141	0.141	0.155	0.082	0.287	0.143	0.227	0.189	0.147	0.226	0.166	0.085	0.267	0.13	0.22	0.115	0.141	0.134	0.198	0.083
525	0.261	0.137	0.23	0.135	0.145	0.144	0.161	0.082	0.284	0.146	0.23	0.189	0.148	0.228	0.172	0.085	0.266	0.13	0.226	0.114	0.144	0.136	0.211	0.083
540	0.258	0.14	0.233	0.135	0.145	0.147	0.166	0.082	0.285	0.147	0.231	0.187	0.148	0.235	0.179	0.085	0.258	0.13	0.224	0.116	0.144	0.138	0.225	0.083
555	0.256	0.144	0.236	0.135	0.146	0.15	0.173	0.082	0.287	0.146	0.231	0.188	0.149	0.237	0.188	0.085	0.256	0.13	0.227	0.116	0.144	0.14	0.239	0.083
570	0.252	0.146	0.236	0.136	0.145	0.154	0.179	0.082	0.283	0.145	0.234	0.191	0.15	0.239	0.193	0.086	0.252	0.131	0.229	0.116	0.144	0.143	0.251	0.083
585	0.248	0.149	0.238	0.137	0.145	0.157	0.188	0.082	0.279	0.147	0.235	0.186	0.151	0.242	0.204	0.086	0.247	0.131	0.232	0.117	0.146	0.146	0.247	0.083
600	0.248	0.149	0.238	0.136	0.146	0.161	0.198	0.082	0.278	0.149	0.235	0.187	0.151	0.246	0.216	0.085	0.244	0.132	0.229	0.116	0.146	0.148	0.24	0.083
615	0.25	0.149	0.24	0.136	0.148	0.164	0.215	0.082	0.274	0.15	0.239	0.188	0.151	0.247	0.231	0.086	0.242	0.132	0.228	0.116	0.147	0.151	0.235	0.083
630	0.258	0.148	0.243	0.137	0.149	0.168	0.228	0.082	0.274	0.15	0.238	0.191	0.153	0.251	0.242	0.086	0.241	0.132	0.229	0.117	0.147	0.153	0.23	0.083
645	0.262	0.15	0.243	0.138	0.149	0.171	0.244	0.082	0.27	0.154	0.239	0.192	0.153	0.254	0.256	0.086	0.239	0.133	0.233	0.118	0.147	0.156	0.225	0.083
660	0.266	0.157	0.246	0.138	0.149	0.175	0.261	0.082	0.266	0.16	0.239	0.19	0.153	0.256	0.267	0.086	0.235	0.134	0.232	0.119	0.147	0.158	0.225	0.083
675	0.27	0.158	0.248	0.138	0.149	0.177	0.282	0.082	0.264	0.161	0.242	0.192	0.154	0.256	0.284	0.086	0.234	0.135	0.233	0.12	0.147	0.16	0.224	0.083
690	0.273	0.161	0.245	0.139	0.15	0.181	0.293	0.082	0.263	0.163	0.242	0.192	0.152	0.26	0.295	0.086	0.23	0.135	0.231	0.12	0.148	0.161	0.224	0.083
705	0.277	0.161	0.245	0.14	0.15	0.183	0.303	0.082	0.264	0.166	0.242	0.192	0.153	0.26	0.305	0.085	0.229	0.135	0.23	0.12	0.147	0.163	0.224	0.083
720	0.278	0.161	0.248	0.141	0.151	0.186	0.312	0.082	0.261	0.168	0.243	0.194	0.153	0.263	0.311	0.086	0.226	0.135	0.232	0.121	0.15	0.165	0.224	0.083
735	0.277	0.161	0.246	0.14	0.152	0.188	0.315	0.082	0.26	0.169	0.243	0.194	0.155	0.263	0.315	0.086	0.223	0.137	0.232	0.121	0.151	0.166	0.224	0.083
750	0.28	0.162	0.246	0.141	0.153	0.19	0.316	0.082	0.263	0.172	0.241	0.195	0.155	0.265	0.317	0.086	0.219	0.139	0.232	0.122	0.149	0.167	0.224	0.083
765	0.277	0.162	0.247	0.14	0.152	0.191	0.318	0.082	0.262	0.173	0.241	0.194	0.155	0.265	0.311	0.086	0.222	0.14	0.232	0.123	0.149	0.168	0.224	0.083
780	0.274	0.166	0.248	0.139	0.153	0.193	0.321	0.082	0.26	0.171	0.246	0.193	0.154	0.266	0.308	0.086	0.222	0.141	0.231	0.123	0.15	0.169	0.224	0.083
795	0.273	0.166	0.247	0.139	0.154	0.195	0.319	0.082	0.259	0.172	0.246	0.195	0.155	0.268	0.308	0.086	0.223	0.141	0.23	0.124	0.15	0.169	0.223	0.083
810	0.273	0.169	0.249	0.14	0.153	0.196	0.315	0.082	0.26	0.175	0.249	0.196	0.155	0.269	0.304	0.086	0.224	0.144	0.228	0.124	0.149	0.17	0.222	0.084
825	0.269	0.169	0.25	0.139	0.156	0.197	0.313	0.082	0.26	0.177	0.25	0.198	0.157	0.269	0.304	0.086	0.223	0.145	0.228	0.124	0.152	0.17	0.221	0.084
840	0.266	0.169	0.249	0.14	0.155	0.198	0.305	0.083	0.258	0.176	0.249	0.199	0.156	0.27	0.304	0.086	0.222	0.146	0.226	0.125	0.153	0.171	0.225	0.084
855	0.264	0.168	0.251	0.141	0.155	0.199	0.306	0.083	0.255	0.178	0.25	0.198	0.156	0.27	0.299	0.086	0.22	0.149	0.225	0.127	0.153	0.171	0.224	0.084
870	0.262	0.169	0.254	0.141	0.154	0.2	0.298	0.083	0.254	0.178	0.252	0.197	0.156	0.269	0.293	0.086	0.219	0.149	0.225	0.128	0.151	0.172	0.223	0.084
885	0.26	0.168	0.252	0.141	0.155	0.201	0.295	0.083	0.252	0.177	0.251	0.197	0.156	0.271	0.288	0.086	0.219	0.149	0.224	0.128	0.154	0.172	0.223	0.084
900	0.259	0.17	0.251	0.141	0.154	0.202	0.291	0.083	0.252	0.18	0.25	0.201	0.157	0.272	0.289	0.086	0.217	0.152	0.227	0.128	0.152	0.172	0.224	0.084
915	0.26	0.17	0.25	0.141	0.156	0.204	0.282	0.083	0.25	0.179	0.257	0.203	0.157	0.271	0.285	0.086	0.217	0.156	0.224	0.129	0.152	0.172	0.225	0.084
930	0.261	0.175	0.25	0.14	0.156	0.205	0.284	0.083	0.249	0.178	0.257	0.206	0.159	0.272	0.282	0.086	0.217	0.161	0.224	0.129	0.154	0.172	0.226	0.083
945	0.263	0.173	0.25	0.141	0.156	0.205	0.275	0.084	0.248	0.18	0.263	0.204	0.159	0.272	0.273	0.086	0.216	0.165	0.221	0.13	0.152	0.172	0.225	0.083
960	0.265	0.173	0.254	0.14	0.157	0.204	0.275	0.084	0.248	0.179	0.262	0.204	0.16	0.271	0.269	0.086	0.215	0.169	0.222	0.13	0.151	0.172	0.226	0.083
