ORF_ID	ORF	Contig_ID	Contig	Toxin_prediction	Toxin_confidence_level	Signal_peptide	Virulence_prediction	Virulence_confidence_level	ARG	ARG_SNPs	AMR_category	AMR_sub_class	Resistance_mechanism	MGE_prediction	genome_name	newgenome_name	HMM_Name	Score	Significance_evalue	NAME	Alternative_name	Database	Description	clade	color
0000000760	2_220	0000000002	c_000000000002	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	CM1_52_S208	CM1_52	TIGR01593	93.1	2.8e-27	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin	clade_1	#E8A419
0000000760	2_220	0000000002	c_000000000002	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	CM1_52_S208	CM1_52	PF05105.7	143.7	4.9e-43	Phage_holin_4	-	PFAM	Holin family	clade_1	#E8A419
0000000801	2_261	0000000002	c_000000000002	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	CM1_52_S208	CM1_52	K11060_3	51.9	1e-14	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000002181	6_105	0000000006	c_000000000006	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	CM1_52_S208	CM1_52	K11063_6	78.9	2.6e-23	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000002182	6_106	0000000006	c_000000000006	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	CM1_52_S208	CM1_52	K11060_3	53.6	3.2e-15	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000002182	6_106	0000000006	c_000000000006	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	CM1_52_S208	CM1_52	K11063_6	83.8	8.7e-25	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000003466	13_41	0000000013	c_000000000013	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	chromosome	CM1_52_S208	CM1_52	K03699_483	274.1	3.6e-82	tlyC	-	KEGG	putative hemolysin	clade_1	#E8A419
0000003778	17_17	0000000017	c_000000000017	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	chromosome	CM1_52_S208	CM1_52	K10816_8	68	1.3e-19	hcnC	-	KEGG	hydrogen cyanide synthase HcnC [EC:1.4.99.5]	clade_1	#E8A419
0000003977	20_35	0000000020	c_000000000020	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	phage	CM1_52_S208	CM1_52	K11063_6	101	5.400000000000001e-30	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000000220	1_220	0000000001	c_000000000001	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	CM1_53_S216	CM1_53	TIGR01593	93.1	2.8e-27	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin	clade_1	#E8A419
0000000220	1_220	0000000001	c_000000000001	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	CM1_53_S216	CM1_53	PF05105.7	143.7	4.9e-43	Phage_holin_4	-	PFAM	Holin family	clade_1	#E8A419
0000000261	1_261	0000000001	c_000000000001	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	CM1_53_S216	CM1_53	K11060_3	51.9	1e-14	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000001640	5_106	0000000005	c_000000000005	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	CM1_53_S216	CM1_53	K11063_6	78.9	2.6e-23	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000001641	5_107	0000000005	c_000000000005	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	CM1_53_S216	CM1_53	K11060_3	53.6	3.2e-15	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000001641	5_107	0000000005	c_000000000005	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	CM1_53_S216	CM1_53	K11063_6	83.8	8.7e-25	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000003536	15_41	0000000015	c_000000000015	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	chromosome	CM1_53_S216	CM1_53	K03699_483	274.1	3.6e-82	tlyC	-	KEGG	putative hemolysin	clade_1	#E8A419
0000003956	20_50	0000000020	c_000000000020	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	chromosome	CM1_53_S216	CM1_53	K10816_8	68	1.2e-19	hcnC	-	KEGG	hydrogen cyanide synthase HcnC [EC:1.4.99.5]	clade_1	#E8A419
0000004006	21_35	0000000021	c_000000000021	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	phage	CM1_53_S216	CM1_53	K11063_6	101	5.400000000000001e-30	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000000729	2_188	0000000002	c_000000000002	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	CM2_89_S218	CM2_89	K11060_3	51.9	1e-14	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000000770	2_229	0000000002	c_000000000002	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	CM2_89_S218	CM2_89	TIGR01593	93.1	2.8e-27	holin_tox_secr	-	TIGR	toxin secretion/phage lysis holin	clade_1	#E8A419
0000000770	2_229	0000000002	c_000000000002	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	ambiguous (phage/chromosome)	CM2_89_S218	CM2_89	PF05105.7	143.7	4.9e-43	Phage_holin_4	-	PFAM	Holin family	clade_1	#E8A419
0000001826	5_105	0000000005	c_000000000005	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	CM2_89_S218	CM2_89	K11063_6	78.9	2.6e-23	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000001827	5_106	0000000005	c_000000000005	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	CM2_89_S218	CM2_89	K11060_3	53.6	3.2e-15	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000001827	5_106	0000000005	c_000000000005	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	CM2_89_S218	CM2_89	K11063_6	83.8	8.7e-25	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000003456	14_41	0000000014	c_000000000014	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	chromosome	CM2_89_S218	CM2_89	K03699_483	274.1	3.6e-82	tlyC	-	KEGG	putative hemolysin	clade_1	#E8A419
0000003878	19_50	0000000019	c_000000000019	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	chromosome	CM2_89_S218	CM2_89	K10816_8	68	1.2e-19	hcnC	-	KEGG	hydrogen cyanide synthase HcnC [EC:1.4.99.5]	clade_1	#E8A419
0000003994	21_35	0000000021	c_000000000021	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	phage	CM2_89_S218	CM2_89	K11063_6	101	5.400000000000001e-30	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000000371	2_13	0000000002	c_000000000002	pathogenic	1: Secreted Toxin	Y	unclassified	3: Potential Secreted Virulence factor	-	-	-	-	-	chromosome	CM6_03_S228	CM6_03	K03699_483	274.1	3.7999999999999996e-82	tlyC	-	KEGG	putative hemolysin	clade_1	#E8A419
0000001865	10_7	0000000010	c_000000000010	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	CM6_03_S228	CM6_03	K11063_6	78.9	2.8000000000000003e-23	tcdAB	-	KEGG	toxin A\/B	clade_1	#E8A419
0000002807	20_40	0000000020	c_000000000020	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	CM6_03_S228	CM6_03	K11060_3	50.6	2.7e-14	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
0000003474	29_51	0000000029	c_000000000029	pathogenic	1: Secreted Toxin	Y	pathogenic	1: Secreted Virulence factor	-	-	-	-	-	chromosome	CM6_03_S228	CM6_03	K11060_3	51.3	1.7e-14	entB	-	KEGG	probable enterotoxin B	clade_1	#E8A419
