Gene ID,HMMER,Hotpep,DIAMOND,#ofTools,genome_name
NODE_10_length_131686_cov_11.429678_22,GH1(7-467),GH1(66),GH1,3,CM1_52_S208
NODE_10_length_131686_cov_11.429678_78,GH1(2-466),GH1(1),GH1,3,CM1_52_S208
NODE_11_length_112344_cov_10.973453_42,GH1(3-459),GH1(19),GH1,3,CM1_52_S208
NODE_11_length_112344_cov_10.973453_60,GH1(11-480),GH1(27),GH1,3,CM1_52_S208
NODE_13_length_96297_cov_8.524249_65,GH1(2-470),GH1(1),GH1,3,CM1_52_S208
NODE_14_length_95524_cov_11.622902_42,GH1(3-466),GH1(19),GH1,3,CM1_52_S208
NODE_15_length_77302_cov_12.175173_46,GT5(3-475),GT5(26),GT5,3,CM1_52_S208
NODE_16_length_66385_cov_9.233677_14,CE4(235-362),-,CE4,2,CM1_52_S208
NODE_16_length_66385_cov_9.233677_21,GT4(164-312),GT4(42),GT4,3,CM1_52_S208
NODE_16_length_66385_cov_9.233677_23,GT4(207-354),GT4(55),GT4,3,CM1_52_S208
NODE_16_length_66385_cov_9.233677_41,GH25(6-181),GH25(88),GH25,3,CM1_52_S208
NODE_18_length_61696_cov_9.498222_39,GT2_Glycos_transf_2(21-168),-,GT2,2,CM1_52_S208
NODE_18_length_61696_cov_9.498222_41,GT4(187-298),-,GT4,2,CM1_52_S208
NODE_18_length_61696_cov_9.498222_42,GT4(187-337),-,GT4,2,CM1_52_S208
NODE_18_length_61696_cov_9.498222_53,CE4(222-356),-,-,1,CM1_52_S208
NODE_1_length_509344_cov_11.680156_229,GH1(5-480),GH1(11),GH1,3,CM1_52_S208
NODE_1_length_509344_cov_11.680156_230,GH1(7-473),GH1(11),GH1,3,CM1_52_S208
NODE_1_length_509344_cov_11.680156_24,GH25(113-303),GH25(33),GH25,3,CM1_52_S208
NODE_1_length_509344_cov_11.680156_400,GT14(3-255),-,GT0,2,CM1_52_S208
NODE_1_length_509344_cov_11.680156_440,GH1(10-478),GH1(11),GH1,3,CM1_52_S208
NODE_1_length_509344_cov_11.680156_450,GH1(6-257),GH1(48),-,2,CM1_52_S208
NODE_1_length_509344_cov_11.680156_52,CBM48(21-104)+GH13_9(172-459),GH13(20)+CBM48(6),CBM48+GH13_9,3,CM1_52_S208
NODE_1_length_509344_cov_11.680156_59,GT2_Glycos_transf_2(8-168),GT2(115)+GT4(135),GT2,3,CM1_52_S208
NODE_1_length_509344_cov_11.680156_60,GT2_Glycos_transf_2(36-202),GT2(83)+GT4(135)+GT8(43),GT2,3,CM1_52_S208
NODE_1_length_509344_cov_11.680156_66,GT2_Glycos_transf_2(4-145),GT2(18),GT2,3,CM1_52_S208
NODE_1_length_509344_cov_11.680156_68,GT35(96-799),GT35(1),GT35,3,CM1_52_S208
NODE_1_length_509344_cov_11.680156_70,GH13_14(259-573),GH13(10)+CBM25(3)+CBM41(5)+CBM48(16)+CBM68(1),CBM48+GH13_14,3,CM1_52_S208
NODE_20_length_44769_cov_14.430738_11,GT4(207-346),GT4(191),GT4,3,CM1_52_S208
NODE_20_length_44769_cov_14.430738_12,GT2_Glycos_transf_2(11-169),-,GT2,2,CM1_52_S208
NODE_20_length_44769_cov_14.430738_14,GT4(206-350),-,GT4,2,CM1_52_S208
NODE_20_length_44769_cov_14.430738_15,GT2_Glycos_transf_2(7-111),-,GT2,2,CM1_52_S208
NODE_20_length_44769_cov_14.430738_16,GT2_Glycos_transf_2(6-160),-,GT2,2,CM1_52_S208
NODE_20_length_44769_cov_14.430738_28,GT2_Glycos_transf_2(5-127),-,GT2,2,CM1_52_S208
NODE_20_length_44769_cov_14.430738_33,GH25(105-175),GH25(49),GH25,3,CM1_52_S208
NODE_22_length_30241_cov_9.618417_6,CBM66(238-392)+GH32(525-832)+CBM66(1095-1257),GH32(24)+CBM38(1)+CBM66(1),CBM66+GH32,3,CM1_52_S208
NODE_22_length_30241_cov_9.618417_9,GH170(3-359),-,GH170,2,CM1_52_S208
NODE_24_length_23712_cov_9.452491_10,CE1(83-248),-,-,1,CM1_52_S208
NODE_24_length_23712_cov_9.452491_13,CE4(243-358),CE4(93),CE4,3,CM1_52_S208
NODE_27_length_12114_cov_15.316259_8,GH1(7-480),GH1(2),GH1,3,CM1_52_S208
NODE_2_length_475034_cov_10.478631_128,GH112(6-717),GH112(1),GH112,3,CM1_52_S208
NODE_2_length_475034_cov_10.478631_20,GH109(1-149),-,-,1,CM1_52_S208
NODE_2_length_475034_cov_10.478631_331,CE9(4-375),CE9(43),CE9,3,CM1_52_S208
NODE_2_length_475034_cov_10.478631_409,GT35(81-751),GT35(1),GT35,3,CM1_52_S208
NODE_2_length_475034_cov_10.478631_410,GH77(9-469),GH77(5),GH77,3,CM1_52_S208
NODE_3_length_370915_cov_9.425424_106,GH4(4-181),GH4(14),GH4,3,CM1_52_S208
NODE_3_length_370915_cov_9.425424_109,CE9(7-369),CE9(63),CE9,3,CM1_52_S208
NODE_3_length_370915_cov_9.425424_121,CE4(240-369),CE4(67),CE4,3,CM1_52_S208
NODE_3_length_370915_cov_9.425424_122,CE4(241-356),CE4(67),CE4,3,CM1_52_S208
NODE_3_length_370915_cov_9.425424_160,GH112(6-720),GH112(1),GH112,3,CM1_52_S208
NODE_3_length_370915_cov_9.425424_212,GH32(9-308),GH32(38)+CBM38(7),GH32,3,CM1_52_S208
NODE_3_length_370915_cov_9.425424_221,GH1(3-458),GH1(20),GH1,3,CM1_52_S208
NODE_3_length_370915_cov_9.425424_9,GH13_20(34-324),GH13(61),GH13,3,CM1_52_S208
NODE_4_length_369635_cov_9.690840_215,CE6(54-145),CE6(2),CE0,3,CM1_52_S208
NODE_4_length_369635_cov_9.690840_274,GH4(7-187),GH4(1),GH4,3,CM1_52_S208
NODE_4_length_369635_cov_9.690840_288,GH73(288-404),-,GH73,2,CM1_52_S208
NODE_4_length_369635_cov_9.690840_354,CE4(91-224),-,-,1,CM1_52_S208
NODE_5_length_345243_cov_7.842557_121,GT51(353-547),-,GT51,2,CM1_52_S208
NODE_5_length_345243_cov_7.842557_123,GT51(73-270),-,GT51,2,CM1_52_S208
NODE_5_length_345243_cov_7.842557_25,GH1(5-486),GH1(1),GH1,3,CM1_52_S208
NODE_6_length_297912_cov_13.204775_103,CE9(6-365),-,CE9,2,CM1_52_S208
NODE_6_length_297912_cov_13.204775_107,GT51(50-221),GT51(13),GT51,3,CM1_52_S208
NODE_6_length_297912_cov_13.204775_128,GH43_24(22-267),GH43(91),GH43_24,3,CM1_52_S208
NODE_6_length_297912_cov_13.204775_152,GH4(6-183),GH4(2),GH4,3,CM1_52_S208
NODE_6_length_297912_cov_13.204775_202,GH170(3-354),-,GH170,2,CM1_52_S208
NODE_6_length_297912_cov_13.204775_224,GH1(1-476),GH1(57),GH1,3,CM1_52_S208
NODE_6_length_297912_cov_13.204775_226,GH1(6-478),GH1(11),GH1,3,CM1_52_S208
NODE_6_length_297912_cov_13.204775_234,GH109(1-135),-,-,1,CM1_52_S208
NODE_6_length_297912_cov_13.204775_285,GT2_Glycos_transf_2(5-150),GT2(193),GT2,3,CM1_52_S208
NODE_7_length_283507_cov_14.074935_12,GH13_29(25-368),GH13(3),GH13_29,3,CM1_52_S208
NODE_7_length_283507_cov_14.074935_186,GH1(4-470),GH1(1),GH1,3,CM1_52_S208
NODE_7_length_283507_cov_14.074935_234,GH1(2-451),-,GH1,2,CM1_52_S208
NODE_7_length_283507_cov_14.074935_235,GH1(2-486),GH1(1),GH1,3,CM1_52_S208
NODE_7_length_283507_cov_14.074935_270,GH1(1-372),-,GH1,2,CM1_52_S208
NODE_7_length_283507_cov_14.074935_32,GH1(7-477),GH1(11),GH1,3,CM1_52_S208
NODE_7_length_283507_cov_14.074935_6,CE4(44-150),CE4(84),CE4,3,CM1_52_S208
NODE_7_length_283507_cov_14.074935_95,GH38(5-277),-,GH38,2,CM1_52_S208
NODE_8_length_243731_cov_13.190584_11,GH73(287-401),GH73(56),GH73,3,CM1_52_S208
NODE_8_length_243731_cov_13.190584_153,GH38(3-254),GH38(10),GH38,3,CM1_52_S208
NODE_8_length_243731_cov_13.190584_155,GH1(3-456),GH1(6),GH1,3,CM1_52_S208
NODE_9_length_175127_cov_8.523246_123,GH109(2-166),-,-,1,CM1_52_S208
NODE_9_length_175127_cov_8.523246_144,CE1(14-249),-,-,1,CM1_52_S208
NODE_9_length_175127_cov_8.523246_163,GT51(45-213),GT51(58),GT51,3,CM1_52_S208
NODE_9_length_175127_cov_8.523246_21,GT28(189-344),GT28(25),GT28,3,CM1_52_S208
NODE_9_length_175127_cov_8.523246_67,GH1(2-483),GH1(1),GH1,3,CM1_52_S208
NODE_1_length_509344_cov_11.680156_355,-,GH0(66),-,1,CM1_52_S208
NODE_2_length_475034_cov_10.478631_256,-,GH23(34),GH23,2,CM1_52_S208
NODE_6_length_297912_cov_13.204775_106,-,GH23(192),-,1,CM1_52_S208
NODE_3_length_370915_cov_9.425424_213,-,GH32(46),-,1,CM1_52_S208
NODE_4_length_369635_cov_9.690840_59,-,GH38(8),-,1,CM1_52_S208
NODE_19_length_49716_cov_10.198572_46,-,CBM5(48),-,1,CM1_52_S208
NODE_25_length_14747_cov_11.408824_5,-,CBM5(68),-,1,CM1_52_S208
NODE_9_length_175127_cov_8.523246_2,-,CBM5(68),-,1,CM1_52_S208
NODE_1_length_509344_cov_11.680156_51,-,-,GT2,1,CM1_52_S208
NODE_1_length_509344_cov_11.680156_55,-,-,GH25,1,CM1_52_S208
NODE_1_length_509344_cov_11.680156_120,-,-,GH13_31,1,CM1_52_S208
NODE_1_length_509344_cov_11.680156_207,-,-,CBM50,1,CM1_52_S208
NODE_2_length_475034_cov_10.478631_358,-,-,GT2,1,CM1_52_S208
NODE_2_length_475034_cov_10.478631_366,-,-,CBM50,1,CM1_52_S208
NODE_2_length_475034_cov_10.478631_415,-,-,CBM50+GH25,1,CM1_52_S208
NODE_3_length_370915_cov_9.425424_91,-,-,GT30,1,CM1_52_S208
NODE_3_length_370915_cov_9.425424_133,-,-,CBM50,1,CM1_52_S208
NODE_3_length_370915_cov_9.425424_135,-,-,GH73,1,CM1_52_S208
NODE_3_length_370915_cov_9.425424_289,-,-,GT2,1,CM1_52_S208
NODE_3_length_370915_cov_9.425424_325,-,-,GH13_30,1,CM1_52_S208
NODE_4_length_369635_cov_9.690840_79,-,-,GH5_11,1,CM1_52_S208
NODE_4_length_369635_cov_9.690840_132,-,-,GH73,1,CM1_52_S208
NODE_4_length_369635_cov_9.690840_252,-,-,GT1,1,CM1_52_S208
NODE_4_length_369635_cov_9.690840_283,-,-,CBM50,1,CM1_52_S208
NODE_5_length_345243_cov_7.842557_134,-,-,GT2,1,CM1_52_S208
NODE_5_length_345243_cov_7.842557_191,-,-,GH28,1,CM1_52_S208
NODE_5_length_345243_cov_7.842557_196,-,-,GH13,1,CM1_52_S208
NODE_5_length_345243_cov_7.842557_248,-,-,GT4,1,CM1_52_S208
NODE_5_length_345243_cov_7.842557_253,-,-,GT83,1,CM1_52_S208
NODE_5_length_345243_cov_7.842557_282,-,-,GT47,1,CM1_52_S208
NODE_5_length_345243_cov_7.842557_300,-,-,GH1,1,CM1_52_S208
NODE_6_length_297912_cov_13.204775_50,-,-,GH13_11,1,CM1_52_S208
NODE_6_length_297912_cov_13.204775_73,-,-,GT58,1,CM1_52_S208
NODE_6_length_297912_cov_13.204775_146,-,-,GH84,1,CM1_52_S208
NODE_6_length_297912_cov_13.204775_151,-,-,GH4,1,CM1_52_S208
NODE_6_length_297912_cov_13.204775_189,-,-,GH13,1,CM1_52_S208
NODE_7_length_283507_cov_14.074935_19,-,-,GT2,1,CM1_52_S208
NODE_7_length_283507_cov_14.074935_70,-,-,GH13_23,1,CM1_52_S208
NODE_7_length_283507_cov_14.074935_72,-,-,GH13_31,1,CM1_52_S208
NODE_8_length_243731_cov_13.190584_213,-,-,GH23,1,CM1_52_S208
NODE_8_length_243731_cov_13.190584_232,-,-,GH3,1,CM1_52_S208
NODE_9_length_175127_cov_8.523246_38,-,-,CBM32,1,CM1_52_S208
NODE_12_length_109286_cov_10.235052_19,-,-,CE0,1,CM1_52_S208
NODE_12_length_109286_cov_10.235052_26,-,-,GH152,1,CM1_52_S208
NODE_12_length_109286_cov_10.235052_55,-,-,GH130,1,CM1_52_S208
NODE_13_length_96297_cov_8.524249_19,-,-,GH28,1,CM1_52_S208
NODE_13_length_96297_cov_8.524249_22,-,-,GH13,1,CM1_52_S208
NODE_14_length_95524_cov_11.622902_6,-,-,GH1,1,CM1_52_S208
NODE_14_length_95524_cov_11.622902_60,-,-,CBM50,1,CM1_52_S208
NODE_15_length_77302_cov_12.175173_48,-,-,CBM48+GH13_9,1,CM1_52_S208
NODE_18_length_61696_cov_9.498222_2,-,-,GT4,1,CM1_52_S208
NODE_18_length_61696_cov_9.498222_37,-,-,GT9,1,CM1_52_S208
NODE_20_length_44769_cov_14.430738_20,-,-,GT2,1,CM1_52_S208
NODE_20_length_44769_cov_14.430738_21,-,-,GT2,1,CM1_52_S208
NODE_22_length_30241_cov_9.618417_14,-,-,GH1,1,CM1_52_S208
NODE_30_length_7395_cov_11.799670_5,-,-,GH38,1,CM1_52_S208
NODE_10_length_181578_cov_18.182347_24,GH25(113-303),GH25(33),GH25,3,CM1_53_S216
NODE_10_length_181578_cov_18.182347_52,CBM48(21-104)+GH13_9(172-459),GH13(20)+CBM48(6),CBM48+GH13_9,3,CM1_53_S216
NODE_10_length_181578_cov_18.182347_59,GT2_Glycos_transf_2(8-168),GT2(115)+GT4(135),GT2,3,CM1_53_S216
NODE_10_length_181578_cov_18.182347_60,GT2_Glycos_transf_2(36-202),GT2(83)+GT4(135)+GT8(43),GT2,3,CM1_53_S216
NODE_10_length_181578_cov_18.182347_66,GT2_Glycos_transf_2(4-145),GT2(18),GT2,3,CM1_53_S216
NODE_10_length_181578_cov_18.182347_68,GT35(96-799),GT35(1),GT35,3,CM1_53_S216
NODE_10_length_181578_cov_18.182347_70,GH13_14(259-573),GH13(10)+CBM25(3)+CBM41(5)+CBM48(16)+CBM68(1),CBM48+GH13_14,3,CM1_53_S216
NODE_11_length_131686_cov_18.058278_22,GH1(7-467),GH1(66),GH1,3,CM1_53_S216
NODE_11_length_131686_cov_18.058278_78,GH1(2-466),GH1(1),GH1,3,CM1_53_S216
NODE_12_length_113129_cov_18.206625_40,GH1(11-480),GH1(27),GH1,3,CM1_53_S216
NODE_12_length_113129_cov_18.206625_58,GH1(3-459),GH1(19),GH1,3,CM1_53_S216
NODE_15_length_96346_cov_16.185504_65,GH1(2-470),GH1(1),GH1,3,CM1_53_S216
NODE_16_length_95524_cov_18.590312_42,GH1(3-466),GH1(19),GH1,3,CM1_53_S216
NODE_17_length_79867_cov_17.411437_51,CBM66(238-392)+GH32(525-832)+CBM66(1095-1257),GH32(24)+CBM38(1)+CBM66(1),CBM66+GH32,3,CM1_53_S216
NODE_17_length_79867_cov_17.411437_54,GH170(3-359),-,GH170,2,CM1_53_S216
NODE_18_length_77303_cov_18.895732_37,GT5(3-475),GT5(26),GT5,3,CM1_53_S216
NODE_19_length_66736_cov_16.677356_15,CE4(235-362),-,CE4,2,CM1_53_S216
NODE_19_length_66736_cov_16.677356_22,GT4(164-312),GT4(42),GT4,3,CM1_53_S216
NODE_19_length_66736_cov_16.677356_24,GT4(207-354),GT4(55),GT4,3,CM1_53_S216
NODE_19_length_66736_cov_16.677356_42,GH25(6-181),GH25(88),GH25,3,CM1_53_S216
NODE_1_length_475040_cov_17.429279_128,GH112(6-717),GH112(1),GH112,3,CM1_53_S216
NODE_1_length_475040_cov_17.429279_20,GH109(1-149),-,-,1,CM1_53_S216
NODE_1_length_475040_cov_17.429279_331,CE9(4-375),CE9(43),CE9,3,CM1_53_S216
NODE_1_length_475040_cov_17.429279_409,GT35(81-751),GT35(1),GT35,3,CM1_53_S216
NODE_1_length_475040_cov_17.429279_410,GH77(9-469),GH77(5),GH77,3,CM1_53_S216
NODE_21_length_44769_cov_17.922607_11,GT4(207-346),GT4(191),GT4,3,CM1_53_S216
NODE_21_length_44769_cov_17.922607_12,GT2_Glycos_transf_2(11-169),-,GT2,2,CM1_53_S216
NODE_21_length_44769_cov_17.922607_14,GT4(206-350),-,GT4,2,CM1_53_S216
NODE_21_length_44769_cov_17.922607_15,GT2_Glycos_transf_2(7-111),-,GT2,2,CM1_53_S216
NODE_21_length_44769_cov_17.922607_16,GT2_Glycos_transf_2(6-160),-,GT2,2,CM1_53_S216
NODE_21_length_44769_cov_17.922607_28,GT2_Glycos_transf_2(5-127),-,GT2,2,CM1_53_S216
NODE_21_length_44769_cov_17.922607_33,GH25(105-175),GH25(49),GH25,3,CM1_53_S216
NODE_24_length_23712_cov_16.512996_12,CE1(83-248),-,-,1,CM1_53_S216
NODE_24_length_23712_cov_16.512996_9,CE4(243-358),CE4(93),CE4,3,CM1_53_S216
NODE_27_length_12518_cov_19.979017_6,GH1(7-480),GH1(2),GH1,3,CM1_53_S216
NODE_2_length_369650_cov_16.350476_103,GH73(288-404),-,GH73,2,CM1_53_S216
NODE_2_length_369650_cov_16.350476_117,GH4(7-187),GH4(1),GH4,3,CM1_53_S216
NODE_2_length_369650_cov_16.350476_176,CE6(54-145),CE6(2),CE0,3,CM1_53_S216
NODE_2_length_369650_cov_16.350476_37,CE4(91-224),-,-,1,CM1_53_S216
NODE_3_length_345243_cov_15.574934_121,GT51(353-547),-,GT51,2,CM1_53_S216
NODE_3_length_345243_cov_15.574934_123,GT51(73-270),-,GT51,2,CM1_53_S216
NODE_3_length_345243_cov_15.574934_25,GH1(5-486),GH1(1),GH1,3,CM1_53_S216
