species	color	cluster	prokka_id	clades
GCA_003459885		cluster_4	GFIOMBBF	clade_3
GCA_003603195		cluster_8	MIDAFOKG	clade_3
SRR12535055		cluster_5	GHGHOGKG	clade_3
CM06_79		cluster_6	OCDHOAE	clade_4
CM2_11		cluster_1	BEABELAG	clade_4
CM2_20		cluster_1	IBBOHFID	clade_4
CM6_01		cluster_1	LIAFFOJC	clade_4
CM6_02		cluster_1	MCJLFFHM	clade_4
CM6_04		cluster_1	PLPIFOBH	clade_4
CM6_05		cluster_1	BBDEDGGP	clade_4
CM6_06		cluster_1	PJNBGFPD	clade_4
CM6_08		cluster_1	NOCFJJJP	clade_4
CM6_34		cluster_6	CAAPFHAH	clade_4
CM6_81		cluster_1	OHCANDLC	clade_4
GCA_000165065		cluster_8	OHAEEAGK	clade_4
GCA_003603255		cluster_8	AFFNEBMK	clade_4
GCA_009696405		cluster_2	CHLBMMCN	clade_4
SRR12535143		cluster_3	JAGMMMCD	clade_4
SRR12535151		cluster_1	BCOFLMKI	clade_4
CM07_207		cluster_4	CCMFNAIN	clade_2
CM07_211		cluster_4	HHFBIIGG	clade_2
CM07_212		cluster_4	EGJKGEHE	clade_2
CM1_51A		cluster_4	GBDAIBKP	clade_2
CM1_51B		cluster_4	MLFPOBOL	clade_2
CM1_51C		cluster_4	KOGJNFMD	clade_2
CM2_10A		cluster_4	OMCNFCFO	clade_2
CM2_10B		cluster_4	BIBBJJHH	clade_2
CM2_19A		cluster_4	ECMIGLPG	clade_2
CM2_19B		cluster_4	ABGGLJAC	clade_2
CM2_8A		cluster_4	IONPPMCL	clade_2
CM2_8B		cluster_4	HMJPAMDE	clade_2
CM3_32		cluster_4	FDKNPHKD	clade_2
CM3_33		cluster_4	COMHPEBL	clade_2
CM3_70		cluster_4	LELKLEHB	clade_2
CM3_76		cluster_4	CFHPLFCO	clade_2
CM3_85		cluster_4	PCAOMDJH	clade_2
CM6_47		cluster_4	EPLACDHD	clade_2
Cinnocuum_14501		cluster_4	FHIBBAKK	clade_2
GCA_000225685		cluster_4	CKCHGKDO	clade_2
GCA_000371425		cluster_4	MLJBJKIH	clade_2
GCA_003433985		cluster_11	ONDLGFNN	clade_2
GCA_003481775		cluster_11	PMBNOEJF	clade_2
GCA_902166045		cluster_4	CBHGPLKD	clade_2
GCA_902166105		cluster_4	CCODGMCB	clade_2
SRR12535052		cluster_4	HBGFLJGI	clade_2
SRR12535053		cluster_4	JCDKFGMG	clade_2
