isolate	clade
CM1_52_S208	clade_1
CM1_53_S216	clade_1
CM2_89_S218	clade_1
CM6_03_S228	clade_1
CM6_07_S232	clade_1
CM6_80_S239	clade_1
d22_429_S223	clade_1
d22_5220_S224	clade_1
d22_5505_S225	clade_1
Ref_Cinnocuum_2959	clade_1
Ref_Cinnocuum_I46	clade_1
Ref_Cinnocuum_LCLUMC	clade_1
GCA_000183585_2_ASM18358v1_genomic	clade_1
GCA_000242195_1_Erys_bact_21_3_V1_genomic	clade_1
GCA_000435955_1_MGS64_genomic	clade_1
GCA_000450985_2_ASM45098v2_genomic	clade_1
GCA_000763955_1_ASM76395v1_genomic	clade_1
GCA_001305075_1_ASM130507v1_genomic	clade_1
GCA_001406695_1_13470_2_72_genomic	clade_1
GCA_001688965_2_ASM168896v2_genomic	clade_1
GCA_002221705_2_ASM222170v2_genomic	clade_1
GCA_002814255_1_ASM281425v1_genomic	clade_1
GCA_009696405_1_ASM969640v1_genomic	clade_1
GCA_009874055_1_ASM987405v1_genomic	clade_1
GCA_009874095_1_ASM987409v1_genomic	clade_1
GCA_009874135_1_ASM987413v1_genomic	clade_1
GCA_009874145_1_ASM987414v1_genomic	clade_1
GCA_009874155_1_ASM987415v1_genomic	clade_1
GCA_009874195_1_ASM987419v1_genomic	clade_1
GCA_009874205_1_ASM987420v1_genomic	clade_1
GCA_009876345_1_ASM987634v1_genomic	clade_1
GCA_009876375_1_ASM987637v1_genomic	clade_1
GCA_009876385_1_ASM987638v1_genomic	clade_1
GCA_009876415_1_ASM987641v1_genomic	clade_1
GCA_009876425_1_ASM987642v1_genomic	clade_1
GCA_012271835_1_ASM1227183v1_genomic	clade_1
GCA_902165885_1_26009_2_3_genomic	clade_1
GCA_902374605_1_MGYG_HGUT_01396_genomic	clade_1
GCA_903181455_1_NZ_Clostridium_innocuum_9H7_BL_hyb_genomic	clade_1
SRR12535044	clade_1
SRR12535045	clade_1
SRR12535046	clade_1
SRR12535047	clade_1
SRR12535048	clade_1
SRR12535049	clade_1
SRR12535050	clade_1
SRR12535051	clade_1
SRR12535054	clade_1
SRR12535056	clade_1
SRR12535057	clade_1
SRR12535136	clade_1
SRR12535139	clade_1
SRR12535140	clade_1
SRR12535141	clade_1
SRR12535144	clade_1
SRR12535145	clade_1
SRR12535146	clade_1
GCA_024590115.1_ASM2459011v1_genomic	clade_1
GCA_024592415.1_ASM2459241v1_genomic	clade_1
GCA_024590065.1_ASM2459006v1_genomic	clade_1
GCA_024590055.1_ASM2459005v1_genomic	clade_1
GCA_024590035.1_ASM2459003v1_genomic	clade_1
GCA_024590015.1_ASM2459001v1_genomic	clade_1
GCA_024589995.1_ASM2458999v1_genomic	clade_1
GCA_024589975.1_ASM2458997v1_genomic	clade_1
