KEGG_Module	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	gene_clusters_ids	p_clade_1	p_clade_3	p_clade_4	p_clade_2	N_clade_1	N_clade_3	N_clade_4	N_clade_2
Acylglycerol degradation	232.000449503954	5.108424338490179e-50	1.4714580164396307e-48	clade_3, clade_4	M00098	GC_00005091	0	1	1	0	139	10	28	55
GABA biosynthesis, eukaryotes, putrescine => GABA	232.00013305563502	5.10922922374792e-50	1.4714580164396307e-48	clade_1, clade_3, clade_2	M00135	GC_00000205	1	1	0	1	139	10	28	55
Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P!!!Nucleotide sugar biosynthesis, galactose => UDP-galactose	232.00013305563502	5.10922922374792e-50	1.4714580164396307e-48	clade_1, clade_3, clade_2	M00632!!!M00554	GC_00002926	1	1	0	1	139	10	28	55
Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	232.00013305563502	5.10922922374792e-50	1.4714580164396307e-48	clade_1, clade_3, clade_2	M00124	GC_00003056	1	1	0	1	139	10	28	55
Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	232.0001330556347	5.109229223748718e-50	1.4714580164396307e-48	clade_4	M00117	GC_00005805	0	0	1	0	139	10	28	55
Glucuronate pathway (uronate pathway)!!!Ascorbate biosynthesis, animals, glucose-1P => ascorbate	159.46747518295908	2.3880977640423917e-34	5.73143463370174e-33	clade_4	M00014!!!M00129	GC_00006519	0	0	0.7143	0	139	10	28	55
Helicobacter pylori pathogenicity signature, cagA pathogenicity island	92.20970974676464	7.343107018878445e-20	1.5105820153121372e-18	clade_4	M00564	GC_00007746	0	0	0.4286	0	139	10	28	55
Glucuronate pathway (uronate pathway)	76.1338713537888	2.0704507529681723e-16	3.7268113553427104e-15	clade_4	M00014	GC_00008208	0	0	0.3571	0	139	10	28	55
Methionine salvage pathway	69.57467320947326	5.26417272753133e-15	8.422676364050128e-14	clade_1, clade_3, clade_2	M00034	GC_00002893	0.9424	1	0.4643	1	139	10	28	55
Ethylmalonyl pathway	59.55182245182145	7.328092964089848e-13	1.055245386828938e-11	clade_3	M00373	GC_00007423	0.0288	0.6	0	0.0545	139	10	28	55
Methionine degradation	56.76490573609714	2.8846657014238117e-12	3.776289645500263e-11	clade_1	M00035	GC_00004555, GC_00005147, GC_00005489, GC_00005555, GC_00005961, GC_00006278, GC_00007329, GC_00007492, GC_00007498, GC_00008034, GC_00008276, GC_00008386, GC_00008543, GC_00008565, GC_00008661, GC_00009502, GC_00009646, GC_00009694, GC_00010108, GC_00010869, GC_00010871, GC_00010941, GC_00011800, GC_00011951, GC_00011961, GC_00011997, GC_00012285, GC_00012512, GC_00012610, GC_00012922, GC_00014316, GC_00014411, GC_00014502	0.8777	0.5	0.25	0.5455	139	10	28	55
ADP-L-glycero-D-manno-heptose biosynthesis	42.3489377774848	3.3831455945490556e-9	4.059774713458867e-8	clade_3, clade_4	M00064	GC_00009461, GC_00011600	0	0.2	0.2143	0	139	10	28	55
Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD!!!Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD	38.16510769653101	2.607882170502107e-8	2.8887310196331034e-7	clade_1	M00125!!!M00911	GC_00003177, GC_00003210, GC_00003211	0.9281	0.3	0.7857	0.6727	139	10	28	55
dTDP-L-mycarose biosynthesis!!!dTDP-L-oleandrose biosynthesis!!!dTDP-L-megosamine biosynthesis!!!dTDP-L-olivose biosynthesis!!!dTDP-D-forosamine biosynthesis!!!dTDP-D-angolosamine biosynthesis	24.96804519969644	1.5679868457925823e-5	1.505267371960879e-4	clade_1, clade_2	M00798!!!M00799!!!M00800!!!M00801!!!M00802!!!M00803	GC_00003208, GC_00009410	0.8633	0.5	0.7143	1	139	10	28	55
dTDP-L-olivose biosynthesis!!!dTDP-D-forosamine biosynthesis	24.96804519969644	1.5679868457925823e-5	1.505267371960879e-4	clade_1, clade_2	M00801!!!M00802	GC_00003438, GC_00005168	0.8633	0.5	0.7143	1	139	10	28	55
Sphingosine biosynthesis	22.296634039181455	5.65870827586982e-5	4.793258774854897e-4	clade_1, clade_4, clade_2	M00099	GC_00000443	1	0.9	1	1	139	10	28	55
Fosfomycin biosynthesis, phosphoenolpyruvate => fosfomycin	22.296634039181257	5.658708275870365e-5	4.793258774854897e-4	clade_3	M00903	GC_00013364, GC_00013366	0	0.1	0	0	139	10	28	55
Assimilatory sulfate reduction, sulfate => H2S!!!Sulfate-sulfur assimilation	17.846921733031422	4.7300841489320017e-4	0.0037840673191456018	clade_3, clade_2	M00176!!!M00616	GC_00006642, GC_00011987	0.0504	0.2	0	0.2182	139	10	28	55
C5 isoprenoid biosynthesis, mevalonate pathway!!!C5 isoprenoid biosynthesis, mevalonate pathway, archaea!!!C5 isoprenoid biosynthesis, non-mevalonate pathway!!!C10-C20 isoprenoid biosynthesis, bacteria!!!C10-C20 isoprenoid biosynthesis, archaea!!!C10-C20 isoprenoid biosynthesis, plants!!!C10-C20 isoprenoid biosynthesis, non-plant eukaryotes	8.247522596097056	0.0411637812036776	0.3091037260836596	clade_1, clade_3	M00095!!!M00849!!!M00096!!!M00364!!!M00365!!!M00366!!!M00367	GC_00005898	0.1583	0.2	0.0357	0.0364	139	10	28	55
UDP-L-FucNAm biosynthesis	8.154148009950015	0.042931073067174946	0.3091037260836596	clade_3, clade_4	M00923	GC_00011357, GC_00011386, GC_00012577	0.0072	0.1	0.0357	0	139	10	28	55
Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	7.314330036717268	0.06252601371896997	0.42874980835865123	clade_4	M00569	GC_00013474	0	0	0.0357	0	139	10	28	55
Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)!!!Acetogen	1.1651976642312918	0.7613628704608759	1	clade_3, clade_2	M00377!!!M00618	GC_00008152	0.036	0.1	0.0357	0.0545	139	10	28	55
Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	0.6725135244521755	0.8796492006776693	1	clade_3, clade_4, clade_2	M00016	GC_00002630	0.9928	1	1	1	139	10	28	55
Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	0.6725135244521755	0.8796492006776693	1	clade_3, clade_4, clade_2	M00093	GC_00002578	0.9928	1	1	1	139	10	28	55
Tetrahydrofolate biosynthesis, GTP => THF	0.6725135244521755	0.8796492006776693	1	clade_3, clade_4, clade_2	M00126	GC_00002607	0.9928	1	1	1	139	10	28	55
